,omp 2500 omp offloading kernel,sycl 2500 sycl kernel,hip 2500 hip_kernel
Runtime,1620866623.0,1285259384.0,1278132051.0
SALU Instructions per wave,96.59,21.2,10.6
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.38,0.29,0.26
L1 Requests per wave,631.04,89.59,89.59
L1 Hit Rate,21.98,20.01,20.01
L2 Requests per wave,163.9,35.22,35.21
L2 Hit Rate,37.46,37.48,37.49
Wavefront Occupancy (% of peak),2255.21,3182.78,3238.82
Dependency Wait Cycles per wave,32893.0,6181.71,5861.17
Issue Wait Cycles per wave,2418.59,2175.39,2024.46
Grid Size,1307443.2,2096858.48,2096858.48
#Threads,256.0,204.81,204.81
Shared Memory Allocated,922.0,614.0,614.0
Shared Memory Instructions per wave,42.14,2.9,2.8
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,37.04,3.2,3.2
Global Memory Read Instructions per wave,26.2,2.0,2.0
Global Memory Write Instructions per wave,10.84,1.2,1.2
Coalesced Instructions (% of peak),70.0,69.99,69.99
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,6286.1,513.69,512.56
Global Write/Atomic Bytes per wave,2776.15,241.56,242.36
SALU Instructions,1973217.792,694584.3715,347292.18575
VALU Instructions,0.0,0.0,0.0
L1 Requests,12891389.952,2935274.2378625,2935274.2378625
L2 Requests,3348280.32,1153927.432275,1153599.7981375
Dependency Wait Cycles,671964518.4,202533922.4125125,192031937.7690875
Issue Wait Cycles,49408891.392000005,71273202.63761249,66328220.600325
Shared Memory Instructions,860869.632,95013.899875,91737.5585
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,756682.752,104842.924,104842.924
Global Memory Read Instructions,535234.5599999999,65526.8275,65526.8275
Global Memory Write Instructions,221448.19199999998,39316.0965,39316.0965
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,128417479.68,16830238.0092375,16793215.351699997
Global Write/Atomic Bytes,56713413.12,7914330.22545,7940540.95645
