,omp 128 64 1000 omp offloading kernel,sycl 128 64 1000 sycl kernel,hip 128 64 1000 hip_kernel
Runtime,850678406.0,845519703.0,637855927.0
SALU Instructions per wave,9900.0,9904.0,14000.0
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.38,0.38,0.52
L1 Requests per wave,286752.0,286752.0,279648.0
L1 Hit Rate,16.76,16.76,16.56
L2 Requests per wave,82768.79,82768.42,82769.38
L2 Hit Rate,99.6,99.6,99.76
Wavefront Occupancy (% of peak),121.93,124.54,125.46
Dependency Wait Cycles per wave,483924.03,480604.88,161466.99
Issue Wait Cycles per wave,16108.4,16139.25,11312.9
Grid Size,8192.0,8192.0,8192.0
#Threads,64.0,64.0,64.0
Shared Memory Allocated,9216.0,8704.0,8704.0
Shared Memory Instructions per wave,87.0,83.0,83.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,5018.0,5018.0,4778.0
Global Memory Instructions per wave,1.0,1.0,1.0
Global Memory Read Instructions per wave,0.0,0.0,0.0
Global Memory Write Instructions per wave,1.0,1.0,1.0
Coalesced Instructions (% of peak),28.0,28.0,27.34
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,12467.42,12419.23,12546.46
Global Write/Atomic Bytes per wave,13995.37,11093.29,11140.87
SALU Instructions,1267200.0,1267712.0,1792000.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,36704256.0,36704256.0,35794944.0
L2 Requests,10594405.12,10594357.76,10594480.64
Dependency Wait Cycles,61942275.84,61517424.64,20667774.72
Issue Wait Cycles,2061875.2,2065824.0,1448051.2
Shared Memory Instructions,11136.0,10624.0,10624.0
Register Spill Instructions,642304.0,642304.0,611584.0
Global Memory Instructions,128.0,128.0,128.0
Global Memory Read Instructions,0.0,0.0,0.0
Global Memory Write Instructions,128.0,128.0,128.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,1595829.76,1589661.44,1605946.88
Global Write/Atomic Bytes,1791407.36,1419941.12,1426031.36
