,omp 1513 2048 100 omp offloading kernel,sycl 1513 2048 100 sycl kernel,hip 1513 2048 100 hip_kernel
Runtime,4551066647.0,4359135842.0,4366093038.0
SALU Instructions per wave,129590.19,78108.83,81134.5
VALU Instructions per wave,0.0,0.0,0.0
IPC,1.01,1.07,1.11
L1 Requests per wave,762403.37,555383.82,550066.76
L1 Hit Rate,75.58,97.89,98.05
L2 Requests per wave,5852.68,3192.16,2954.36
L2 Hit Rate,62.78,56.6,59.83
Wavefront Occupancy (% of peak),2393.47,3342.86,3360.89
Dependency Wait Cycles per wave,5904964.22,4389217.67,4219749.07
Issue Wait Cycles per wave,702366.71,393446.61,564137.45
Grid Size,387328.0,774656.0,774656.0
#Threads,256.0,512.0,512.0
Shared Memory Allocated,512.0,0.0,0.0
Shared Memory Instructions per wave,12492.67,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,1032.23,715.5,516.11
Global Memory Instructions per wave,12485.51,8860.37,8860.8
Global Memory Read Instructions per wave,11570.79,8430.3,8430.73
Global Memory Write Instructions per wave,914.72,430.06,430.07
Coalesced Instructions (% of peak),31.86,27.5,27.18
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,69422.44,35198.22,32311.82
Global Write/Atomic Bytes per wave,87289.81,52270.42,43384.46
SALU Instructions,784279829.88,945429278.32,982051988.0
VALU Instructions,0.0,0.0,0.0
L1 Requests,4614065195.24,6722365757.28,6658008063.04
L2 Requests,35420419.36,38637904.64,35759573.440000005
Dependency Wait Cycles,35736843459.439995,53127090677.68,51075842743.28001
Issue Wait Cycles,4250723328.9199996,4762277767.44,6828319694.799999
Shared Memory Instructions,75605638.84,0.0,0.0
Register Spill Instructions,6247055.96,8660412.0,6246995.44
Global Memory Instructions,75562306.52,107245918.48,107251123.19999999
Global Memory Read Instructions,70026421.08,102040351.19999999,102045555.92
Global Memory Write Instructions,5535885.44,5205446.24,5205567.28
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,420144606.88,426039254.88,391102269.28
Global Write/Atomic Bytes,528277930.12,632681163.68,525125503.84
