,omp 8000000 1 100 omp offloading kernel,sycl 8000000 1 100 sycl kernel,hip 8000000 1 100 hip_kernel
Runtime,533452881.0,533268052.0,531940806.0
SALU Instructions per wave,253.28,252.67,256.84
VALU Instructions per wave,0.0,0.0,0.0
IPC,0.1,0.1,0.11
L1 Requests per wave,3546.09,3557.72,3614.78
L1 Hit Rate,30.15,29.79,31.86
L2 Requests per wave,943.26,944.52,948.99
L2 Hit Rate,60.63,60.68,61.14
Wavefront Occupancy (% of peak),3982.09,3988.75,3985.96
Dependency Wait Cycles per wave,150557.58,151448.97,150216.0
Issue Wait Cycles per wave,99232.5,98685.26,99366.63
Grid Size,8000000.0,8000000.0,8000000.0
#Threads,256.0,256.0,256.0
Shared Memory Allocated,0.0,0.0,0.0
Shared Memory Instructions per wave,55.62,0.0,0.0
Shared Memory Bank Conflicts (%),0.0,0.0,0.0
Register Spill Instructions per wave,0.0,0.0,0.0
Global Memory Instructions per wave,55.42,55.46,56.42
Global Memory Read Instructions per wave,28.71,28.73,29.21
Global Memory Write Instructions per wave,26.67,26.67,27.08
Coalesced Instructions (% of peak),25.04,25.02,24.98
Global Atomic Operations per wave,0.0,0.0,0.0
Global Read Bytes per wave ,22659.12,22662.84,22528.43
Global Write/Atomic Bytes per wave,5438.63,5435.2,5416.77
SALU Instructions,31660000.0,31583750.0,32104999.999999996
VALU Instructions,0.0,0.0,0.0
L1 Requests,443261250.0,444715000.0,451847500.0
L2 Requests,117907500.0,118065000.0,118623750.0
Dependency Wait Cycles,18819697500.0,18931121250.0,18777000000.0
Issue Wait Cycles,12404062500.0,12335657500.0,12420828750.0
Shared Memory Instructions,6952500.0,0.0,0.0
Register Spill Instructions,0.0,0.0,0.0
Global Memory Instructions,6927500.0,6932500.0,7052500.0
Global Memory Read Instructions,3588750.0,3591250.0,3651250.0
Global Memory Write Instructions,3333750.0,3333750.0,3385000.0
Global Atomic Operations,0.0,0.0,0.0
Global Read Bytes ,2832390000.0,2832855000.0,2816053750.0
Global Write/Atomic Bytes,679828750.0,679400000.0,677096250.0
