,omp 10000 200 100,sycl 10000 200 100,cuda 10000 200 100
Runtime,14311020.0,10316180.0,12486180.0
HtoD copy time,26615.0,24250.0,24315.0
DtoH copy time,6625.0,5185.0,4800.0
#Threads,256.0,256.0,256.0
#Teams,40.0,40.0,40.0
Instructions Executed,1069717945.0100019,821726763.3299993,925296350.6099995
IPC,1.4501000000000004,1.6332999999999973,1.5061000000000002
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,31300000.0,125200.0,125200.0
Global Memory Store Instructions,18780000.0,93900.0,93900.0
Global Memory Load (MB),16790.469999999972,16607.389999999963,16833.21999999999
Global Memory Store (MB),0.0,2972.2700000000004,0.0
Global Memory Load Throughput (GB/s),1.1512000000000016,1.5785000000000002,1.3171999999999977
Global Memory Store Throughput (GB/s),0.0,0.28270000000000006,0.0
Global Memory Load Bank Conflicts,9509720.0,0.0,0.0
Global Memory Store Bank Conflicts,12234.0,0.0,0.0
L1 Cache Accesses (Bytes),50632.159999999996,28268.499999999993,28220.669999999966
L1 Cache Hits (%),99.75,42.86000000000003,42.86000000000003
L1 Cache Throughput (GB/s),442.3216,2.685000000000001,2.206700000000001
L2 Cache Accesses (Bytes),19130.290000000015,28977.27999999999,28604.570000000098
L2 Cache Hits (%),99.47959999999979,50.85379999999995,55.858199999999954
L2 Cache Throughput (GB/s),167.12279999999998,2.7520000000000007,2.2375000000000016
#Divergent Branches,100.0,0.0,0.0
Warp Stalls - Barrier Not Issued,17290.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,50432.0,26544.0,41075.0
Warp Stalls - Dispatch Stall Not Issued,143.0,577.0,4.0
Warp Stalls - Drain Not Issued,19.0,42.0,24.0
Warp Stalls - IMC Miss Not Issued,3250.0,2828.0,2651.0
Warp Stalls - LG Throttle Not Issued,0.0,23.0,3.0
Warp Stalls - Long Scoreboard Not Issued,43592.0,2272.0,1860.0
Warp Stalls - Math Pipe Throttle Not Issued,7346.0,13377.0,5601.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,4928.0,6634.0,57.0
Warp Stalls - Misc Not Issued,27.0,25.0,338.0
Warp Stalls - No Instructions Not Issued,21195.0,9713.0,30351.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,78651.0,61236.0,58272.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,207824.0,157198.0,231807.0
Occupancy,1250.0,1218.410000000001,1224.0000000000007
