,omp 100 0 100,sycl 100 0 100,cuda 100 0 100
Runtime,26586342515.0,47894054260.0,2950696405.0
HtoD copy time,215905.0,248000.0,213570.0
DtoH copy time,80090.0,68890.0,68215.0
Instructions Executed,8146241133423.256,8146178432620.1045,930495062904.9956
IPC,3.085198019801988,3.069999999999992,2.499999999999987
Shared Memory Stores,394627200.0,387840000.0,387840000.0
Shared Memory Loads,99289625600.0,99287040000.0,24821760000.0
Shared Memory Store Bank Conflicts,8203653.0,8083471.0,7798597.0
Shared Memory Load Bank Conflicts,15014.0,18046.0,94858.0
Global Memory Load Instructions,99676819200.0,99676819200.0,99676819200.0
Global Memory Store Instructions,646400.0,646400.0,646400.0
Global Memory Load (MB),4015.639999999997,4397.509999999997,32411.579999999936
Global Memory Store (MB),53153.50999999972,122268.0999999999,27496.700000000063
Global Memory Load Throughput (GB/s),17.386435643564354,19.279009900990093,157.96688118811878
Global Memory Store Throughput (GB/s),55.2087623762374,477.2876237623757,8.122277227722808
Global Memory Load Bank Conflicts,21433.0,21484.0,140630.0
Global Memory Store Bank Conflicts,56.0,0.0,14.0
L1 Cache Accesses (Bytes),71464.6400000003,77056.51000000036,56721.66000000012
L1 Cache Hits (%),89.58950495049483,89.70499999999986,89.48450495049512
L1 Cache Throughput (GB/s),91.47534653465375,119.15787128712837,18.490297029702962
L2 Cache Accesses (Bytes),129530.40999999996,176717.93999999977,21712.940000000006
L2 Cache Hits (%),97.95905940594061,97.8619306930692,98.1062376237624
L2 Cache Throughput (GB/s),487.21668316831676,774.7492079207916,6.423316831683161
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,1389560.0,1042177.0,1019655.0
Warp Stalls - Branch Resolving Not Issued,6293328.0,3352121.0,48753.0
Warp Stalls - Dispatch Stall Not Issued,238292.0,356763.0,26720.0
Warp Stalls - Drain Not Issued,36.0,198.0,194.0
Warp Stalls - IMC Miss Not Issued,4110.0,5100.0,5146.0
Warp Stalls - LG Throttle Not Issued,92.0,154.0,9875717.0
Warp Stalls - Long Scoreboard Not Issued,6590601.0,739306.0,512838.0
Warp Stalls - Math Pipe Throttle Not Issued,73027971.0,101231747.0,3039491.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,275215.0,69917.0,6473081.0
Warp Stalls - Misc Not Issued,31824.0,15615.0,18029.0
Warp Stalls - No Instructions Not Issued,1200063.0,648236.0,3249772.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,9082295.0,5787675.0,656869.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,3.0,0.0,3.0
Warp Stalls - Wait Not Issued,41389755.0,26011062.0,3033217.0
Occupancy,10491.169999999978,12608.839999999987,12584.149999999996
