,omp 8192 2000 9 100,sycl 8192 2000 9 100,cuda 8192 2000 9 100
Runtime,4219169980.0,7516133415.0,7084679160.0
HtoD copy time,7470869585.0,8268074600.0,7928218820.0
DtoH copy time,150994155.0,361633380.0,166790570.0
Instructions Executed,418320892484.2792,471888240537.772,412535008296.01154
IPC,1.9542666666666684,2.132566666666661,1.9866999999999966
Shared Memory Stores,0.0,419430400.0,419430400.0
Shared Memory Loads,0.0,0.0,9825635400.0
Shared Memory Store Bank Conflicts,0.0,5555051.0,6957728.0
Shared Memory Load Bank Conflicts,0.0,1553263395.0,1537639848.0
Global Memory Load Instructions,15323000500.0,1048576000.0,13532386200.0
Global Memory Store Instructions,629043200.0,629043200.0,629043200.0
Global Memory Load (MB),212730.78000000044,222537.85000000053,225168.9800000004
Global Memory Store (MB),91216.19999999994,139984.90000000002,141409.52000000016
Global Memory Load Throughput (GB/s),253.73300000000012,204.7380000000001,213.51143333333334
Global Memory Store Throughput (GB/s),124.39416666666679,110.00783333333331,114.26926666666667
Global Memory Load Bank Conflicts,1523923244.0,13347862620.0,13282497236.0
Global Memory Store Bank Conflicts,24811632.0,651662146.0,654011395.0
L1 Cache Accesses (Bytes),151602.48000000004,150047.51999999976,151881.7399999996
L1 Cache Hits (%),53.39353333333336,55.16299999999999,55.47466666666674
L1 Cache Throughput (GB/s),227.63826666666665,221.69840000000002,227.8124666666667
L2 Cache Accesses (Bytes),253051.92000000033,265462.05000000057,273895.54999999976
L2 Cache Hits (%),58.29816666666673,62.08523333333338,62.07600000000016
L2 Cache Throughput (GB/s),570.874766666667,612.4236333333333,640.6716333333335
#Divergent Branches,110841200.0,98079400.0,9867310800.0
Warp Stalls - Barrier Not Issued,7967982.0,343964.0,574060.0
Warp Stalls - Branch Resolving Not Issued,739770.0,476954.0,992423.0
Warp Stalls - Dispatch Stall Not Issued,115563.0,103466.0,33234.0
Warp Stalls - Drain Not Issued,254.0,104008.0,146835.0
Warp Stalls - IMC Miss Not Issued,11247.0,12981.0,7748.0
Warp Stalls - LG Throttle Not Issued,1099261.0,1570776.0,5390600.0
Warp Stalls - Long Scoreboard Not Issued,11174950.0,7171265.0,8298499.0
Warp Stalls - Math Pipe Throttle Not Issued,437249.0,370741.0,85646.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,94094.0,213911.0,533302.0
Warp Stalls - Misc Not Issued,42044.0,19508.0,38937.0
Warp Stalls - No Instructions Not Issued,206956.0,57524.0,201964.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,102691.0,50945.0,683284.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,1375.0,21.0,50.0
Warp Stalls - Wait Not Issued,2343818.0,1120973.0,1262709.0
Occupancy,19099.969999999998,23118.179999999942,26159.140000000036
