,omp 10000000,sycl 10000000,cuda 10000000
Runtime,237056260.0,548165640.0,583204170.0
HtoD copy time,1055240.0,1349830.0,1307910.0
DtoH copy time,8359890.0,14096435.0,14027520.0
Instructions Executed,21534612835.759983,17794261515.670025,24873386384.849995
IPC,1.3634437086092712,1.290298013245033,1.6153973509933781
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,997081932.0,997081932.0,997081932.0
Global Memory Store Instructions,103986406.0,103986406.0,103986406.0
Global Memory Load (MB),180734.46999999988,128198.69999999998,123135.80000000012
Global Memory Store (MB),27183.370000000017,31765.799999999974,29888.259999999995
Global Memory Load Throughput (GB/s),379.45367549668873,301.63665562913906,291.1415894039735
Global Memory Store Throughput (GB/s),62.76059602649013,77.32877483443701,71.11413907284762
Global Memory Load Bank Conflicts,390228163.0,402324040.0,396025988.0
Global Memory Store Bank Conflicts,12295704.0,13151454.0,12793972.0
L1 Cache Accesses (Bytes),104856.96000000006,86511.36000000003,88239.33000000006
L1 Cache Hits (%),43.55940397350999,51.582251655629136,50.38831125827811
L1 Cache Throughput (GB/s),152.02572847682114,91.95215231788077,97.66884105960268
L2 Cache Accesses (Bytes),185187.6900000001,179223.49999999962,168263.04999999993
L2 Cache Hits (%),69.49947019867554,74.06847682119204,73.9993046357616
L2 Cache Throughput (GB/s),357.3526821192054,291.05976821192047,264.0230132450329
#Divergent Branches,210373374.0,113822044.0,113822044.0
Warp Stalls - Barrier Not Issued,1821048.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,42096.0,36660.0,33113.0
Warp Stalls - Dispatch Stall Not Issued,732.0,5244.0,5766.0
Warp Stalls - Drain Not Issued,205.0,37712.0,39338.0
Warp Stalls - IMC Miss Not Issued,7863.0,6892.0,11182.0
Warp Stalls - LG Throttle Not Issued,2943459.0,2532475.0,3046895.0
Warp Stalls - Long Scoreboard Not Issued,2880160.0,1932863.0,2216190.0
Warp Stalls - Math Pipe Throttle Not Issued,25944.0,32344.0,31301.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,6273.0,3963.0,3054.0
Warp Stalls - Misc Not Issued,1664.0,2752.0,3313.0
Warp Stalls - No Instructions Not Issued,17131.0,16422.0,17097.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,10535.0,48646.0,62487.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,4622.0,0.0,0.0
Warp Stalls - Wait Not Issued,235074.0,239348.0,280235.0
Occupancy,28619.120000000017,24290.68000000001,24433.850000000006
