,omp 8192 8192 100,sycl 8192 8192 100,cuda 8192 8192 100
Runtime,1586403475.0,1712370360.0,2002918880.0
HtoD copy time,3593638910.0,3561541970.0,3585509695.0
DtoH copy time,49224480.0,49369360.0,49334475.0
Instructions Executed,5480652806.999998,5287142406.999999,6276633606.00001
IPC,0.035000000000000045,0.035000000000000045,0.02999999999999995
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,420044800.0,419814400.0,839628800.0
Global Memory Store Instructions,419430400.0,419251200.0,838860800.0
Global Memory Load (MB),118485.28000000009,118812.96000000005,118141.8799999999
Global Memory Store (MB),119846.67,120013.23999999995,119371.46999999997
Global Memory Load Throughput (GB/s),62.58370000000001,63.749450000000024,60.10405000000001
Global Memory Store Throughput (GB/s),63.30265000000002,64.40225000000005,60.72955000000004
Global Memory Load Bank Conflicts,10048374761.0,9883289736.0,9840915482.0
Global Memory Store Bank Conflicts,10123424090.0,10112345734.0,10099402517.0
L1 Cache Accesses (Bytes),103460.60999999999,107080.93,95258.05999999992
L1 Cache Hits (%),71.17565,71.94649999999982,71.53464999999996
L1 Cache Throughput (GB/s),512.4730499999998,530.5746499999999,471.4602999999997
L2 Cache Accesses (Bytes),66454.76999999989,67118.70999999996,61007.63999999985
L2 Cache Hits (%),72.61535000000025,72.5275999999999,72.55229999999972
L2 Cache Throughput (GB/s),329.22384999999997,332.6135499999998,302.02815
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,515277.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,15235.0,12268.0,18623.0
Warp Stalls - Dispatch Stall Not Issued,130.0,121.0,940.0
Warp Stalls - Drain Not Issued,790.0,3424.0,3405.0
Warp Stalls - IMC Miss Not Issued,7110.0,2290.0,5104.0
Warp Stalls - LG Throttle Not Issued,8257606.0,18384985.0,27926460.0
Warp Stalls - Long Scoreboard Not Issued,25356116.0,22310055.0,26910626.0
Warp Stalls - Math Pipe Throttle Not Issued,417.0,249.0,499.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Misc Not Issued,12.0,17.0,7.0
Warp Stalls - No Instructions Not Issued,17954.0,9862.0,16596.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,142.0,65.0,135.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,730868.0,872973.0,1016132.0
Occupancy,1026.9800000000002,1014.8299999999986,1017.1399999999979
