,omp 64 5,sycl 64 5,cuda 64 5
Runtime,6976915660.0,5971452750.0,8303574000.0
HtoD copy time,6895325.0,6965970.0,7591275.0
DtoH copy time,3160880.0,2188860.0,3561570.0
Instructions Executed,472280312326.35,552774827529.4899,415003176966.63007
IPC,0.6350000000000001,0.9489999999999998,0.6630000000000001
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,83857489920.0,83857489920.0,83857489920.0
Global Memory Store Instructions,414720.0,414720.0,414720.0
Global Memory Load (MB),2754.83,6149.08,10311.73
Global Memory Store (MB),233.75,264.67,265.06
Global Memory Load Throughput (GB/s),153.7,370.51000000000005,638.672
Global Memory Store Throughput (GB/s),13.681000000000001,16.783,16.834
Global Memory Load Bank Conflicts,210441.0,276050.0,299962.0
Global Memory Store Bank Conflicts,54585.0,90063.0,107946.0
L1 Cache Accesses (Bytes),11036.2,12070.65,7150.030000000001
L1 Cache Hits (%),49.87800000000001,45.182,25.818
L1 Cache Throughput (GB/s),388.91900000000004,484.76000000000005,1.285
L2 Cache Accesses (Bytes),9929.300000000001,12081.650000000001,10144.3
L2 Cache Hits (%),79.13300000000001,61.326,50.77900000000001
L2 Cache Throughput (GB/s),580.751,764.3950000000001,430.68
#Divergent Branches,1105920.0,1105920.0,1105920.0
Warp Stalls - Barrier Not Issued,20843404.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,88608.0,95320.0,51585.0
Warp Stalls - Dispatch Stall Not Issued,51215.0,88379.0,131232.0
Warp Stalls - Drain Not Issued,3.0,28.0,15.0
Warp Stalls - IMC Miss Not Issued,1679.0,1974.0,3597.0
Warp Stalls - LG Throttle Not Issued,8788.0,37544.0,1172743.0
Warp Stalls - Long Scoreboard Not Issued,2451883.0,21066207.0,23237971.0
Warp Stalls - Math Pipe Throttle Not Issued,33772.0,101795.0,115644.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,2.0,106.0,179.0
Warp Stalls - Misc Not Issued,7181.0,26484.0,45127.0
Warp Stalls - No Instructions Not Issued,505183.0,237707.0,369490.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,334.0,226.0,6529.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,3665827.0,2253624.0,1863815.0
Occupancy,186.91,313.87,558.08
