,URNG_Input.bmp omp offloading kernel,URNG_Input.bmp sycl kernel,URNG_Input.bmp cuda_kernel
Runtime,38592520.0,36045005.0,37070375.0
HtoD copy time,30650.0,29120.0,28635.0
DtoH copy time,27070.0,23520.0,23100.0
#Threads,4.0,4.0,4.0
#Teams,16384.0,16384.0,16384.0
Instructions Executed,14560461179.490007,13805158782.499989,13495501170.320004
IPC,3.7949000000000046,3.824999999999996,3.703199999999993
Shared Memory Stores,77004800.0,62259200.0,47513600.0
Shared Memory Loads,77004800.0,250675200.0,29491200.0
Shared Memory Store Bank Conflicts,42146.0,98.0,1.0
Shared Memory Load Bank Conflicts,27485.0,578990.0,57673.0
Global Memory Load Instructions,85196800.0,85196800.0,85196800.0
Global Memory Store Instructions,1638400.0,1638400.0,1638400.0
Global Memory Load (MB),92588.34000000004,51397.37999999991,52203.870000000075
Global Memory Store (MB),77552.31999999999,50736.74000000006,49970.15999999994
Global Memory Load Throughput (GB/s),2.3759999999999994,1.4176999999999995,1.4020000000000012
Global Memory Store Throughput (GB/s),1.989499999999999,1.3997000000000006,1.3423000000000003
Global Memory Load Bank Conflicts,6248040.0,6264286.0,6288476.0
Global Memory Store Bank Conflicts,184.0,287.0,142.0
L1 Cache Accesses (Bytes),55029.059999999925,58013.969999999936,56882.51999999989
L1 Cache Hits (%),99.25880000000019,99.29280000000006,99.32369999999992
L1 Cache Throughput (GB/s),396.2605999999999,426.10970000000015,414.7951999999997
L2 Cache Accesses (Bytes),1257.3699999999972,1297.1100000000013,1274.0700000000004
L2 Cache Hits (%),95.76669999999996,91.58019999999999,92.00569999999996
L2 Cache Throughput (GB/s),9.054099999999995,9.52679999999999,9.290799999999988
#Divergent Branches,49152000.0,49152000.0,49152000.0
Warp Stalls - Barrier Not Issued,1698.0,770.0,843.0
Warp Stalls - Branch Resolving Not Issued,2007.0,1913.0,1777.0
Warp Stalls - Dispatch Stall Not Issued,121.0,101.0,55.0
Warp Stalls - Drain Not Issued,25.0,148.0,120.0
Warp Stalls - IMC Miss Not Issued,3276.0,3486.0,3134.0
Warp Stalls - LG Throttle Not Issued,81.0,7.0,70.0
Warp Stalls - Long Scoreboard Not Issued,4381.0,4516.0,3192.0
Warp Stalls - Math Pipe Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,59.0,39.0,27.0
Warp Stalls - Misc Not Issued,14.0,11.0,28.0
Warp Stalls - No Instructions Not Issued,14323.0,10351.0,49122.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,690.0,714.0,974.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,1.0,2.0,2.0
Warp Stalls - Wait Not Issued,16911.0,21258.0,17942.0
Occupancy,4681.370000000002,4696.8799999999965,4694.049999999998
