,omp 1250,sycl 1250,cuda 1250
Runtime,913985095.0,612262770.0,569729760.0
HtoD copy time,47507025.0,47069420.0,46573765.0
DtoH copy time,42619520.0,47947755.0,40114070.0
Instructions Executed,392507241720.05566,210112007885.40005,185713927977.33542
IPC,2.6497674910166173,3.1541599999998917,3.190931999999856
Shared Memory Stores,13530008576.0,564480000.0,4453120000.0
Shared Memory Loads,11953277952.0,8279040000.0,4202240000.0
Shared Memory Store Bank Conflicts,555285402.0,77706693.0,265338240.0
Shared Memory Load Bank Conflicts,11168670.0,899922.0,1442303.0
Global Memory Load Instructions,39276969984.0,8028160000.0,8028160000.0
Global Memory Store Instructions,174662656.0,62720000.0,62720000.0
Global Memory Load (MB),3234873.6899998304,1161588.7299999576,1169688.5700000029
Global Memory Store (MB),2646872.070000032,1595808.1999999983,1706084.0999999999
Global Memory Load Throughput (GB/s),3.7379475797927477,4.060243999999843,4.717963999999836
Global Memory Store Throughput (GB/s),451.2549376453185,510.3232800000005,561.55044
Global Memory Load Bank Conflicts,1376043615.0,312241181.0,412309455.0
Global Memory Store Bank Conflicts,9050698.0,2674525.0,3675557.0
L1 Cache Accesses (Bytes),942023.499999998,1098190.8700000602,1098891.009999949
L1 Cache Hits (%),62.67193193827909,37.60136,37.512899999999995
L1 Cache Throughput (GB/s),3.612101035721873,1.7413479999999928,2.0214039999999773
L2 Cache Accesses (Bytes),3649494.099999567,686698.7400000091,687900.210000015
L2 Cache Hits (%),99.63589727330371,99.64131999999991,99.59482400000012
L2 Cache Throughput (GB/s),480.27712745710386,1.08763200000005,1.2640720000000683
#Divergent Branches,62720000.0,0.0,0.0
Warp Stalls - Barrier Not Issued,3505452.0,99650.0,448215.0
Warp Stalls - Branch Resolving Not Issued,221754.0,33789.0,44505.0
Warp Stalls - Dispatch Stall Not Issued,40438.0,17043.0,22346.0
Warp Stalls - Drain Not Issued,22673.0,12095.0,8565.0
Warp Stalls - IMC Miss Not Issued,104331.0,35340.0,56040.0
Warp Stalls - LG Throttle Not Issued,2285560.0,250.0,20492.0
Warp Stalls - Long Scoreboard Not Issued,6409824.0,1740670.0,1722891.0
Warp Stalls - Math Pipe Throttle Not Issued,1419035.0,1337437.0,1228299.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1299163.0,16557.0,164488.0
Warp Stalls - Misc Not Issued,5994.0,393.0,365.0
Warp Stalls - No Instructions Not Issued,201584.0,41471.0,89462.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,3141796.0,385280.0,384095.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,10329.0,0.0,19.0
Warp Stalls - Wait Not Issued,3064421.0,521991.0,571703.0
Occupancy,361714.4899999992,215901.89,221773.44999999987
