,omp 4096 4096 50 omp offloading kernel,sycl 4096 4096 50 sycl kernel,cuda 4096 4096 50 cuda_kernel
Runtime,101547865.0,77788675.0,76149265.0
HtoD copy time,71092350.0,70388270.0,72417545.0
DtoH copy time,30733185.0,47704800.0,49427835.0
Instructions Executed,6148133488.079992,4926854464.390002,4507481657.740008
IPC,0.44040000000000007,0.32195,0.28870000000000023
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,366695000.0,366848000.0,314444800.0
Global Memory Store Instructions,104857700.0,104883200.0,104883200.0
Global Memory Load (MB),123031.48999999999,104822.3500000001,101200.43999999992
Global Memory Store (MB),70632.98000000003,82997.19000000003,86888.05999999997
Global Memory Load Throughput (GB/s),385.0066499999998,330.0897999999998,311.1353000000001
Global Memory Store Throughput (GB/s),195.3843999999999,232.37500000000003,232.46595000000008
Global Memory Load Bank Conflicts,150045671.0,176410509.0,111266325.0
Global Memory Store Bank Conflicts,18158195.0,11818854.0,12097501.0
L1 Cache Accesses (Bytes),105377.20999999988,107125.14999999989,107405.12000000005
L1 Cache Hits (%),12.55245,17.2714,16.082399999999996
L1 Cache Throughput (GB/s),228.31855000000013,236.9982499999999,238.48310000000004
L2 Cache Accesses (Bytes),119722.9,202312.89999999982,201698.1299999998
L2 Cache Hits (%),82.70930000000011,75.94025000000012,75.41175000000015
L2 Cache Throughput (GB/s),240.29525,463.44809999999984,461.76810000000006
#Divergent Branches,50.0,0.0,0.0
Warp Stalls - Barrier Not Issued,182952.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,8164.0,3825.0,6961.0
Warp Stalls - Dispatch Stall Not Issued,4489.0,1938.0,1814.0
Warp Stalls - Drain Not Issued,376.0,15169.0,92028.0
Warp Stalls - IMC Miss Not Issued,4456.0,1953.0,3347.0
Warp Stalls - LG Throttle Not Issued,40448.0,24789.0,247129.0
Warp Stalls - Long Scoreboard Not Issued,2878710.0,1376308.0,1994676.0
Warp Stalls - Math Pipe Throttle Not Issued,25716.0,29921.0,55287.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,499.0,1395.0,21085.0
Warp Stalls - Misc Not Issued,1072.0,441.0,487.0
Warp Stalls - No Instructions Not Issued,5228.0,3583.0,6602.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,14864.0,9126.0,37153.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,419.0,0.0,0.0
Warp Stalls - Wait Not Issued,128121.0,74344.0,133505.0
Occupancy,7317.720000000006,8382.539999999992,8355.050000000001
