,omp 10000000 omp offloading kernel,sycl 10000000 sycl kernel,cuda 10000000 cuda_kernel
Runtime,236857485.0,183639590.0,193126125.0
HtoD copy time,1040295.0,1342945.0,1338500.0
DtoH copy time,8576280.0,13928040.0,13871030.0
Instructions Executed,21534612835.61999,17794261515.70002,24873386385.229996
IPC,1.3629801324503314,1.290397350993377,1.6166556291390735
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,997081932.0,997081932.0,997081932.0
Global Memory Store Instructions,103986406.0,103986406.0,103986406.0
Global Memory Load (MB),179850.25,128160.05000000009,122914.23000000004
Global Memory Store (MB),27198.24000000002,31761.009999999987,29807.579999999973
Global Memory Load Throughput (GB/s),379.6525496688741,301.55860927152344,290.398476821192
Global Memory Store Throughput (GB/s),62.81185430463574,77.3123178807947,70.84572847682115
Global Memory Load Bank Conflicts,390363421.0,402302095.0,395953942.0
Global Memory Store Bank Conflicts,12280537.0,13153506.0,12804789.0
L1 Cache Accesses (Bytes),105826.54999999994,86514.18999999996,90185.94
L1 Cache Hits (%),43.57476821192054,51.583642384106,50.390231788079454
L1 Cache Throughput (GB/s),155.23890728476823,91.95927152317877,104.11609271523183
L2 Cache Accesses (Bytes),182949.62999999998,179205.3599999996,168013.09999999974
L2 Cache Hits (%),69.48284768211917,74.06284768211921,73.99966887417224
L2 Cache Throughput (GB/s),350.14649006622534,291.01917218543065,263.219139072848
#Divergent Branches,210373374.0,113822044.0,113822044.0
Warp Stalls - Barrier Not Issued,1841589.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,41127.0,38430.0,33390.0
Warp Stalls - Dispatch Stall Not Issued,790.0,5552.0,5747.0
Warp Stalls - Drain Not Issued,219.0,43284.0,38727.0
Warp Stalls - IMC Miss Not Issued,8191.0,7027.0,8167.0
Warp Stalls - LG Throttle Not Issued,2949757.0,3052708.0,2937276.0
Warp Stalls - Long Scoreboard Not Issued,2885847.0,2327193.0,2152656.0
Warp Stalls - Math Pipe Throttle Not Issued,25051.0,33473.0,30734.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,6199.0,4590.0,3192.0
Warp Stalls - Misc Not Issued,1582.0,2940.0,3246.0
Warp Stalls - No Instructions Not Issued,15448.0,16061.0,16672.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,10397.0,54589.0,61498.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,4590.0,0.0,0.0
Warp Stalls - Wait Not Issued,232819.0,260623.0,277842.0
Occupancy,28615.88999999998,24287.35,24427.33000000001
