,omp 112 112 50 omp offloading kernel,sycl 112 112 50 sycl kernel,cuda 112 112 50 cuda_kernel
Runtime,2323482720.0,3684788850.0,3621051250.0
HtoD copy time,372671665.0,389189385.0,381588175.0
DtoH copy time,90000.0,54615.0,51740.0
Instructions Executed,107758963934.4801,25061030617.189903,22647206587.76001
IPC,0.6120666666666709,0.1809916666666653,0.15646666666666845
Shared Memory Stores,18278400.0,3225600.0,3225600.0
Shared Memory Loads,12902400.0,21504000.0,8064000.0
Shared Memory Store Bank Conflicts,58938.0,119978.0,128406.0
Shared Memory Load Bank Conflicts,207.0,180.0,57.0
Global Memory Load Instructions,2239104000.0,2239104000.0,2239104000.0
Global Memory Store Instructions,2150400.0,537600.0,537600.0
Global Memory Load (MB),312693.0999999982,416420.42000000074,419135.2400000017
Global Memory Store (MB),262536.8000000013,247262.88000000032,240048.54000000076
Global Memory Load Throughput (GB/s),153.84038333333328,233.3410416666667,233.28582500000013
Global Memory Store Throughput (GB/s),132.50380833333318,113.40010833333339,113.04166666666681
Global Memory Load Bank Conflicts,25494637448.0,19558086558.0,19613174777.0
Global Memory Store Bank Conflicts,18337.0,26536.0,30725.0
L1 Cache Accesses (Bytes),490215.1100000058,529120.7300000043,543904.5800000033
L1 Cache Hits (%),0.0,0.0,0.0
L1 Cache Throughput (GB/s),223.43342499999946,255.85477500000042,268.1746499999999
L2 Cache Accesses (Bytes),490426.0600000019,529157.5900000022,543941.8700000021
L2 Cache Hits (%),45.36139999999992,40.11582500000009,39.888841666666636
L2 Cache Throughput (GB/s),223.52769999999921,255.88056666666697,268.2002999999999
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,99001.0,148731.0,364680.0
Warp Stalls - Branch Resolving Not Issued,1779205.0,182290.0,117608.0
Warp Stalls - Dispatch Stall Not Issued,44981.0,4160.0,1164.0
Warp Stalls - Drain Not Issued,295.0,1551.0,1529.0
Warp Stalls - IMC Miss Not Issued,39975.0,32086.0,28803.0
Warp Stalls - LG Throttle Not Issued,761362.0,9511445.0,9085861.0
Warp Stalls - Long Scoreboard Not Issued,59308021.0,86923398.0,74439096.0
Warp Stalls - Math Pipe Throttle Not Issued,240392.0,37736.0,19733.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,5741.0,5496.0,4143.0
Warp Stalls - Misc Not Issued,13059.0,9328.0,8334.0
Warp Stalls - No Instructions Not Issued,453326.0,190167.0,93696.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,1255732.0,22982.0,18390.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,39.0,0.0,0.0
Warp Stalls - Wait Not Issued,9402618.0,1737495.0,1157326.0
Occupancy,22365.69999999998,32896.59000000001,32898.98000000007
