,omp,sycl,cuda
Runtime,2708257825.0,531444470.0,528298960.0
HtoD copy time,2360315.0,2048085.0,2040390.0
DtoH copy time,229670.0,333115.0,332155.0
Instructions Executed,371029860530.4083,163639872700.48996,146365632654.38995
IPC,1.2207569721115574,2.8019599999999922,2.6175600000000037
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,9222048000.0,9220608000.0,2308608000.0
Global Memory Store Instructions,4626432.0,4608000.0,4608000.0
Global Memory Load (MB),153776.9199999996,870.1699999999925,870.1599999999928
Global Memory Store (MB),207017.65999999904,114188.95999999958,114272.31999999954
Global Memory Load Throughput (GB/s),47.45912350597607,1.0494800000000042,1.0498800000000041
Global Memory Store Throughput (GB/s),812.278844621514,455.69583999999986,456.0292799999997
Global Memory Load Bank Conflicts,731197.0,8952910.0,8672473.0
Global Memory Store Bank Conflicts,27270.0,8053424.0,8069361.0
L1 Cache Accesses (Bytes),25025.34000000008,128050.98999999915,107260.84000000035
L1 Cache Hits (%),99.12350597609598,99.36999999999988,97.5
L1 Cache Throughput (GB/s),98.51784860557777,511.0239599999999,129.41335999999998
L2 Cache Accesses (Bytes),199551.49999999953,3522.7600000000075,3523.190000000012
L2 Cache Hits (%),96.55414342629479,87.83671999999986,87.95880000000012
L2 Cache Throughput (GB/s),785.5167729083666,4.2479200000000015,4.250719999999999
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,836.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,6876016.0,49592.0,22843.0
Warp Stalls - Dispatch Stall Not Issued,1942.0,54932.0,22443.0
Warp Stalls - Drain Not Issued,53.0,608.0,683.0
Warp Stalls - IMC Miss Not Issued,6544.0,6205.0,6465.0
Warp Stalls - LG Throttle Not Issued,1105.0,17566.0,10.0
Warp Stalls - Long Scoreboard Not Issued,1696441.0,344366.0,361312.0
Warp Stalls - Math Pipe Throttle Not Issued,579690.0,4373679.0,4619038.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,115798.0,207628.0,272983.0
Warp Stalls - Misc Not Issued,139.0,780.0,1549.0
Warp Stalls - No Instructions Not Issued,1106229.0,36356.0,21478.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,10853882.0,48858.0,54042.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,28466205.0,1475980.0,1344226.0
Occupancy,2821.7299999999923,10268.909999999994,10230.869999999999
#Threads,,64.0,64.0
#Teams,,1152.0,1152.0
