,omp -p=1000 omp offloading kernel,sycl -p=1000 sycl kernel,cuda -p=1000 cuda_kernel
Runtime,6417403140.0,1404144115.0,1364143810.0
HtoD copy time,77356170.0,99638640.0,96833885.0
DtoH copy time,175280.0,207755.0,205930.0
#Threads,36.0,36.0,36.0
#Teams,424400.5,424848.5,424848.5
Instructions Executed,501707351498.7267,394074480844.9424,350161568502.19824
IPC,0.7493599999999996,1.422474999999962,1.2510999999999897
Shared Memory Stores,9376363000.0,845601000.0,845601000.0
Shared Memory Loads,10171788000.0,6764808000.0,3382404000.0
Shared Memory Store Bank Conflicts,20097769.0,18517836.0,17716855.0
Shared Memory Load Bank Conflicts,1476357.0,4713683.0,4668250.0
Global Memory Load Instructions,31926002000.0,35786152000.0,35782160000.0
Global Memory Store Instructions,1699394000.0,1699394000.0,1699394000.0
Global Memory Load (MB),1011654.4800000287,1280811.2200000281,1268002.8699999757
Global Memory Store (MB),116323.09000000053,115068.50000000313,117553.10000000097
Global Memory Load Throughput (GB/s),272.871850000004,406.707755,400.4423449999998
Global Memory Store Throughput (GB/s),52.996215000000994,52.50950000000123,53.674075000000435
Global Memory Load Bank Conflicts,16090399340.0,16170804851.0,16022385590.0
Global Memory Store Bank Conflicts,6078138.0,23078915.0,24079777.0
L1 Cache Accesses (Bytes),1004381.8999999901,46638.029999998515,43768.75999999839
L1 Cache Hits (%),82.03432999999922,79.29807000000027,76.21897499999983
L1 Cache Throughput (GB/s),478.33129999999835,3.1838449999999354,3.0891799999999927
L2 Cache Accesses (Bytes),1263825.6599999866,1535782.4399999883,1592227.8699999964
L2 Cache Hits (%),28.914584999999867,20.08629000000001,24.176699999999972
L2 Cache Throughput (GB/s),358.69045499999885,501.53074000000083,523.3042300000001
#Divergent Branches,9197481000.0,8227815000.0,8234359000.0
Warp Stalls - Barrier Not Issued,4370524.0,106600.0,145822.0
Warp Stalls - Branch Resolving Not Issued,14119656.0,2194433.0,2794387.0
Warp Stalls - Dispatch Stall Not Issued,356263.0,244295.0,192451.0
Warp Stalls - Drain Not Issued,84076.0,178424.0,211351.0
Warp Stalls - IMC Miss Not Issued,97512.0,93151.0,87650.0
Warp Stalls - LG Throttle Not Issued,9339.0,161803.0,139470.0
Warp Stalls - Long Scoreboard Not Issued,69961079.0,13374668.0,16484817.0
Warp Stalls - Math Pipe Throttle Not Issued,1888.0,1576.0,1326.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1540.0,54210.0,37495.0
Warp Stalls - Misc Not Issued,159224.0,152109.0,147821.0
Warp Stalls - No Instructions Not Issued,3291615.0,953172.0,1087520.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,4088065.0,151167.0,242360.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,146.0,0.0,1.0
Warp Stalls - Wait Not Issued,61434097.0,6816419.0,8127985.0
Occupancy,82771.60000000129,113281.30999999974,112212.96999999999
