,omp 8192 8192 100 omp offloading kernel,sycl 8192 8192 100 sycl kernel,cuda 8192 8192 100 cuda_kernel
Runtime,2418473905.0,2390898335.0,2378887680.0
HtoD copy time,9239020.0,9941820.0,10120710.0
DtoH copy time,69961830.0,50176635.0,70203490.0
Instructions Executed,492321685466.46356,337641472377.9998,305345331549.00006
IPC,2.3322999999999894,1.8900000000000012,1.7449999999999983
Shared Memory Stores,11964006400.0,8598323200.0,8598323200.0
Shared Memory Loads,6710886400.0,8598323200.0,8598323200.0
Shared Memory Store Bank Conflicts,187470.0,126120970.0,115936427.0
Shared Memory Load Bank Conflicts,25014456.0,249730140.0,254084571.0
Global Memory Load Instructions,10485760000.0,13841203200.0,13841203200.0
Global Memory Store Instructions,209715200.0,419430400.0,419430400.0
Global Memory Load (MB),13336.099999999977,15592.059999999976,15703.310000000069
Global Memory Store (MB),36220.44999999996,85061.48000000014,39631.69000000005
Global Memory Load Throughput (GB/s),4.240849999999985,10.829450000000014,11.068850000000005
Global Memory Store Throughput (GB/s),7.354100000000011,47.961100000000044,63.8650000000001
Global Memory Load Bank Conflicts,549234094.0,9923701304.0,9558928156.0
Global Memory Store Bank Conflicts,1121756.0,428079340.0,428385243.0
L1 Cache Accesses (Bytes),5934.979999999982,6890.990000000006,6895.170000000025
L1 Cache Hits (%),49.229199999999935,93.53035000000024,93.46874999999996
L1 Cache Throughput (GB/s),1.2048999999999987,2.124950000000001,2.1408500000000132
L2 Cache Accesses (Bytes),54031.979999999996,93245.56000000007,91302.2699999999
L2 Cache Hits (%),106.36479999999992,97.03865,97.0290499999999
L2 Cache Throughput (GB/s),63.49255000000004,99.24425000000006,99.01905
#Divergent Branches,3185544000.0,0.0,0.0
Warp Stalls - Barrier Not Issued,2504375.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,999578.0,69681.0,26590.0
Warp Stalls - Dispatch Stall Not Issued,20286.0,88891.0,81471.0
Warp Stalls - Drain Not Issued,4408.0,164779.0,140575.0
Warp Stalls - IMC Miss Not Issued,9782.0,9757.0,6788.0
Warp Stalls - LG Throttle Not Issued,19666748.0,31688538.0,42048171.0
Warp Stalls - Long Scoreboard Not Issued,5234927.0,8775388.0,1498341.0
Warp Stalls - Math Pipe Throttle Not Issued,1637957.0,714856.0,497127.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,629108.0,1114065.0,2000959.0
Warp Stalls - Misc Not Issued,3602.0,91458.0,110056.0
Warp Stalls - No Instructions Not Issued,270540.0,48475.0,48947.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,833610.0,724006.0,667626.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,3418.0,0.0,0.0
Warp Stalls - Wait Not Issued,4057223.0,2655668.0,1461801.0
Occupancy,11027.520000000013,12141.02999999997,16327.619999999964
