,omp 2048 125 omp offloading kernel,sycl 2048 125 sycl kernel,cuda 2048 125 cuda_kernel
Runtime,23710135.0,24343055.0,24342300.0
HtoD copy time,750800.0,28540.0,28640.0
DtoH copy time,395080.0,4835.0,4640.0
Instructions Executed,3584905376.7500052,3388691614.420009,3339860354.530013
IPC,0.9515000000000009,1.0388399999999969,1.0410600000000039
Shared Memory Stores,41062000.0,51202000.0,51202000.0
Shared Memory Loads,297175829.0,261825586.0,257755606.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,681.0,2448.0,852.0
Global Memory Load Instructions,49164250.0,49160000.0,49160000.0
Global Memory Store Instructions,256375.0,256250.0,256250.0
Global Memory Load (MB),123944.32999999983,253659.88999999888,289685.4100000001
Global Memory Store (MB),0.0,0.0,0.0
Global Memory Load Throughput (GB/s),194.58446000000012,457.7167199999986,529.4654599999996
Global Memory Store Throughput (GB/s),0.0,0.0,0.0
Global Memory Load Bank Conflicts,4935.0,9068.0,9265.0
Global Memory Store Bank Conflicts,570.0,1217.0,1132.0
L1 Cache Accesses (Bytes),64043.279999999446,157064.34999999966,168005.41999999978
L1 Cache Hits (%),59.176019999999525,45.527080000000026,45.53608000000005
L1 Cache Throughput (GB/s),112.01405999999992,300.01620000000014,321.8983400000002
L2 Cache Accesses (Bytes),9234.759999999944,108771.0600000001,120306.25000000026
L2 Cache Hits (%),157.72655999999972,60.781620000000125,60.70984000000009
L2 Cache Throughput (GB/s),11.173519999999991,212.9227800000001,235.98900000000043
#Divergent Branches,63745500.0,63550000.0,63550000.0
Warp Stalls - Barrier Not Issued,91459.0,86806.0,81770.0
Warp Stalls - Branch Resolving Not Issued,30581.0,27347.0,27267.0
Warp Stalls - Dispatch Stall Not Issued,1058.0,1128.0,1011.0
Warp Stalls - Drain Not Issued,219.0,400.0,386.0
Warp Stalls - IMC Miss Not Issued,8862.0,8396.0,7083.0
Warp Stalls - LG Throttle Not Issued,2300.0,6743.0,7909.0
Warp Stalls - Long Scoreboard Not Issued,36332.0,9001.0,9714.0
Warp Stalls - Math Pipe Throttle Not Issued,42619.0,39775.0,36892.0
Warp Stalls - Membar Not Issued,118.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,3909.0,10600.0,9841.0
Warp Stalls - Misc Not Issued,215.0,242.0,229.0
Warp Stalls - No Instructions Not Issued,38839.0,34110.0,35525.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,216218.0,202094.0,197700.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,50.0,0.0,0.0
Warp Stalls - Wait Not Issued,158150.0,139760.0,141180.0
Occupancy,13128.299999999992,14402.329999999925,14386.309999999929
