,omp 100000000 256 100,sycl 100000000 256 100,cuda 100000000 256 100
Runtime,162159295.0,586819160.0,579304440.0
HtoD copy time,259545760.0,290025400.0,249814685.0
DtoH copy time,297119760.0,264457100.0,180220255.0
#Threads,256.0,,
#Teams,390625.0,,
Instructions Executed,38867187715.00008,41562213440.05012,30937500201.01988
IPC,2.150000000000004,1.2002499999999972,1.005100000000004
Shared Memory Stores,3164062500.0,351562500.0,351562500.0
Shared Memory Loads,1914062500.0,351562500.0,351562500.0
Shared Memory Store Bank Conflicts,1894852.0,236757.0,255736.0
Shared Memory Load Bank Conflicts,19354309.0,16060555.0,15117650.0
Global Memory Load Instructions,312500000.0,625000000.0,625000000.0
Global Memory Store Instructions,312500000.0,625000000.0,625000000.0
Global Memory Load (MB),65604.43999999999,133160.38999999998,133438.0499999999
Global Memory Store (MB),33334.45999999999,69997.95999999993,70232.60000000012
Global Memory Load Throughput (GB/s),256.0427000000001,265.8007999999999,267.1878499999999
Global Memory Store Throughput (GB/s),130.09780000000003,137.57289999999995,138.45570000000004
Global Memory Load Bank Conflicts,8017989.0,31905755.0,24562091.0
Global Memory Store Bank Conflicts,3615631.0,6595151.0,6859903.0
L1 Cache Accesses (Bytes),114807.09999999998,244657.73999999987,245159.64000000004
L1 Cache Hits (%),23.941800000000036,11.964299999999998,11.965250000000005
L1 Cache Throughput (GB/s),448.06989999999996,479.54065,482.04709999999994
L2 Cache Accesses (Bytes),115471.94000000008,248265.69000000006,248862.18999999962
L2 Cache Hits (%),43.187899999999985,46.876699999999964,46.89594999999998
L2 Cache Throughput (GB/s),450.66439999999994,484.62340000000034,487.31734999999986
#Divergent Branches,351562500.0,664062500.0,664062500.0
Warp Stalls - Barrier Not Issued,748538.0,340836.0,367475.0
Warp Stalls - Branch Resolving Not Issued,76537.0,88480.0,98943.0
Warp Stalls - Dispatch Stall Not Issued,2143.0,5921.0,1852.0
Warp Stalls - Drain Not Issued,5801.0,31819.0,36422.0
Warp Stalls - IMC Miss Not Issued,1018.0,3128.0,2562.0
Warp Stalls - LG Throttle Not Issued,386.0,965.0,1032.0
Warp Stalls - Long Scoreboard Not Issued,387284.0,6291154.0,6877252.0
Warp Stalls - Math Pipe Throttle Not Issued,10493.0,17711.0,5075.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,150612.0,28158.0,45676.0
Warp Stalls - Misc Not Issued,1900.0,1550.0,1989.0
Warp Stalls - No Instructions Not Issued,11947.0,16183.0,15765.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,102329.0,129571.0,146191.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,39159.0,2124.0,1981.0
Warp Stalls - Wait Not Issued,137265.0,283696.0,234770.0
Occupancy,9364.569999999994,18406.780000000006,18378.410000000033
