,omp 255 8 100 2 omp offloading kernel,sycl 255 8 100 2 sycl kernel,cuda 255 8 100 2 cuda_kernel
Runtime,243100605.0,238184485.0,427387605.0
HtoD copy time,142672885.0,203718455.0,204055670.0
DtoH copy time,25794879910.0,27169675.0,26503115.0
#Threads,256.0,256.0,256.0
#Teams,255.0,255.0,255.0
Instructions Executed,32625664524.00007,32535006739.32999,33148400575.99993
IPC,1.2399999999999978,1.3933000000000002,0.7600000000000002
Shared Memory Stores,1469434400.0,1468210400.0,1468210400.0
Shared Memory Loads,2726705600.0,2726297600.0,2726297600.0
Shared Memory Store Bank Conflicts,0.0,0.0,17942420.0
Shared Memory Load Bank Conflicts,465201029.0,576173250.0,323459173.0
Global Memory Load Instructions,419838400.0,419634500.0,419838400.0
Global Memory Store Instructions,1272405400.0,1260947600.0,1261559300.0
Global Memory Load (MB),77321.88000000002,78408.81999999995,66093.30000000003
Global Memory Store (MB),65674.55000000002,56153.42000000001,49371.229999999996
Global Memory Load Throughput (GB/s),214.642,228.96839999999997,121.0952
Global Memory Store Throughput (GB/s),182.30900000000005,163.9783,90.45720000000001
Global Memory Load Bank Conflicts,130011704.0,128513223.0,67749384.0
Global Memory Store Bank Conflicts,1455918229.0,920126303.0,1093093962.0
L1 Cache Accesses (Bytes),99714.93999999977,94668.51999999989,51764.78000000007
L1 Cache Hits (%),68.39300000000004,66.08099999999996,69.46000000000002
L1 Cache Throughput (GB/s),994.5594,944.3952000000002,515.3478
L2 Cache Accesses (Bytes),366.85999999999933,95399.04999999984,51963.549999999916
L2 Cache Hits (%),78.8982999999999,75.94959999999988,76.6020000000001
L2 Cache Throughput (GB/s),1.0185999999999997,951.6804999999997,517.3254999999996
#Divergent Branches,6138300.0,767400.0,197184300.0
Warp Stalls - Barrier Not Issued,1252011.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,82940.0,211328.0,331832.0
Warp Stalls - Dispatch Stall Not Issued,12240.0,6829.0,3843.0
Warp Stalls - Drain Not Issued,131.0,305.0,309.0
Warp Stalls - IMC Miss Not Issued,2974.0,3040.0,3247.0
Warp Stalls - LG Throttle Not Issued,1270241.0,480307.0,52211.0
Warp Stalls - Long Scoreboard Not Issued,2739349.0,2880861.0,3911179.0
Warp Stalls - Math Pipe Throttle Not Issued,57473.0,42431.0,22776.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,162116.0,531716.0,20199.0
Warp Stalls - Misc Not Issued,4183.0,9118.0,1757.0
Warp Stalls - No Instructions Not Issued,15951.0,20975.0,69693.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,884806.0,1001407.0,973533.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,4550.0,792.0,0.0
Warp Stalls - Wait Not Issued,675028.0,746762.0,1732337.0
Occupancy,3993.76,3988.0700000000024,1240.9800000000007
