,omp 100 omp offloading kernel,sycl 100 sycl kernel,cuda 100 cuda_kernel
Runtime,232193390.0,211803570.0,211452145.0
HtoD copy time,852341630.0,357455225.0,343085550.0
DtoH copy time,3286335.0,8877810.0,8576315.0
Instructions Executed,32147765996.40999,13023130740.440037,13335041203.390356
IPC,1.2710954545454574,0.5183818181818249,0.546995454545446
Shared Memory Stores,1757593600.0,550502400.0,511180800.0
Shared Memory Loads,1415577600.0,550502400.0,511180800.0
Shared Memory Store Bank Conflicts,472834061.0,564567537.0,484457553.0
Shared Memory Load Bank Conflicts,554570364.0,621677811.0,548267469.0
Global Memory Load Instructions,602931200.0,602931200.0,602931200.0
Global Memory Store Instructions,576716800.0,576716800.0,576716800.0
Global Memory Load (MB),855549.2300000418,914131.090000045,919041.9500000458
Global Memory Store (MB),802794.1899999838,852553.8399999936,856398.7299999916
Global Memory Load Throughput (GB/s),353.80092272727296,380.4290954545448,382.6612999999998
Global Memory Store Throughput (GB/s),332.7919999999996,355.5086727272726,357.2633363636366
Global Memory Load Bank Conflicts,146766174.0,99435667.0,89931315.0
Global Memory Store Bank Conflicts,33554921.0,38046581.0,37759741.0
L1 Cache Accesses (Bytes),1694423.1300000641,1807943.0700000734,1817091.060000069
L1 Cache Hits (%),41.17871363636378,35.649522727272625,35.80890454545463
L1 Cache Throughput (GB/s),701.5573318181819,753.157304545454,757.3154818181799
L2 Cache Accesses (Bytes),1694674.9100000572,1808055.0900000727,1817190.1300000676
L2 Cache Hits (%),49.69274090909222,49.64730000000042,49.64388181818221
L2 Cache Throughput (GB/s),701.6594409090912,753.2076090909089,757.3599681818154
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,673429.0,114023.0,112535.0
Warp Stalls - Branch Resolving Not Issued,60823.0,15632.0,14385.0
Warp Stalls - Dispatch Stall Not Issued,14934.0,4882.0,2705.0
Warp Stalls - Drain Not Issued,3182.0,235143.0,261806.0
Warp Stalls - IMC Miss Not Issued,50638.0,32746.0,43709.0
Warp Stalls - LG Throttle Not Issued,43786.0,1012308.0,1169203.0
Warp Stalls - Long Scoreboard Not Issued,4893099.0,3975665.0,4187595.0
Warp Stalls - Math Pipe Throttle Not Issued,83516.0,21739.0,29957.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,327842.0,340558.0,374795.0
Warp Stalls - Misc Not Issued,2929.0,1205.0,850.0
Warp Stalls - No Instructions Not Issued,80999.0,22573.0,35538.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,203951.0,146597.0,141066.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,9012.0,446.0,1395.0
Warp Stalls - Wait Not Issued,435911.0,92441.0,93599.0
Occupancy,139192.6799999999,193011.9599999999,193063.55999999988
