,omp 500000 500 5 1,sycl 500000 500 5 1,cuda 500000 500 5 1
Runtime,132775890.0,109658650.0,109498640.0
HtoD copy time,47735.0,45915.0,45820.0
DtoH copy time,863625.0,859615.0,860185.0
Instructions Executed,685305760.3199925,558671140.2400005,628452508.0800009
IPC,1.074969325153366,1.785766871165632,2.0410633946830123
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,77500000.0,77500000.0,77500000.0
Global Memory Store Instructions,201484.0,15625.0,15625.0
Global Memory Load (MB),480346.27999999974,21906.940000000264,21893.97000000029
Global Memory Store (MB),1076.99,0.0,0.0
Global Memory Load Throughput (GB/s),487.26402862985697,40.26102249488752,40.23449897750517
Global Memory Store Throughput (GB/s),0.9703374233128834,0.0,0.0
Global Memory Load Bank Conflicts,5809.0,24.0,30.0
Global Memory Store Bank Conflicts,3.0,0.0,5.0
L1 Cache Accesses (Bytes),187021.63999999844,33396.62999999992,33376.83999999999
L1 Cache Hits (%),87.47497955010145,99.94995910020388,99.94995910020388
L1 Cache Throughput (GB/s),187.25082822085835,61.3716155419222,61.3311451942741
L2 Cache Accesses (Bytes),110550.49000000034,33111.49999999979,33389.86999999979
L2 Cache Hits (%),237.82659509202725,214.34312883435754,216.3773006134956
L2 Cache Throughput (GB/s),98.08886503067458,60.85094069529651,61.358404907975455
#Divergent Branches,185837.0,185836.0,185836.0
Warp Stalls - Barrier Not Issued,607.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,2845.0,5196.0,4525.0
Warp Stalls - Dispatch Stall Not Issued,72.0,191.0,216.0
Warp Stalls - Drain Not Issued,25.0,81.0,70.0
Warp Stalls - IMC Miss Not Issued,2598.0,1291.0,1264.0
Warp Stalls - LG Throttle Not Issued,1153.0,2791.0,2531.0
Warp Stalls - Long Scoreboard Not Issued,21824.0,27738.0,23835.0
Warp Stalls - Math Pipe Throttle Not Issued,11116.0,3572.0,4788.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,0.0,0.0,1.0
Warp Stalls - Misc Not Issued,6.0,29.0,49.0
Warp Stalls - No Instructions Not Issued,6136.0,4833.0,5081.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,172.0,53.0,50.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,124418.0,99648.0,85402.0
Occupancy,12200.550000000076,6101.659999999934,6102.5799999999335
