,omp -q -t -s 512,sycl -q -t -s 512,cuda -q -t -s 512
Runtime,26721180.0,5109200.0,4996550.0
HtoD copy time,179055.0,177610.0,178125.0
DtoH copy time,213770.0,214120.0,212325.0
Instructions Executed,172499628.2999994,99562370.11999992,94076780.06000003
IPC,0.48170254403130935,0.45608610567514524,0.43450097847357644
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,8398688.0,4496864.0,4496864.0
Global Memory Store Instructions,2801008.0,1500400.0,1500400.0
Global Memory Load (MB),222338.61000000028,242678.62999999942,242974.87999999957
Global Memory Store (MB),123424.81999999993,104826.99000000033,76623.80000000006
Global Memory Load Throughput (GB/s),46.22308219178078,66.12480430528372,66.41467710371816
Global Memory Store Throughput (GB/s),27.470322896281804,28.750861056751408,16.73520547945204
Global Memory Load Bank Conflicts,914372.0,3701841.0,3707388.0
Global Memory Store Bank Conflicts,286560.0,1901840.0,1880640.0
L1 Cache Accesses (Bytes),245225.4199999999,287206.18999999994,288126.3399999998
L1 Cache Hits (%),33.38802348336594,26.934266144814092,26.921976516634036
L1 Cache Throughput (GB/s),134.92814090019564,181.371722113503,182.27157534246567
L2 Cache Accesses (Bytes),221102.52000000043,250769.74999999968,249140.0799999999
L2 Cache Hits (%),68.54693737769078,76.98844422700576,76.98403131115452
L2 Cache Throughput (GB/s),100.09354207436398,146.56432485322898,144.96171232876716
#Divergent Branches,976.0,0.0,0.0
Warp Stalls - Barrier Not Issued,21638.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,866.0,1945.0,1939.0
Warp Stalls - Dispatch Stall Not Issued,558.0,235.0,15.0
Warp Stalls - Drain Not Issued,330.0,5984.0,6205.0
Warp Stalls - IMC Miss Not Issued,23880.0,25070.0,25137.0
Warp Stalls - LG Throttle Not Issued,149.0,965.0,975.0
Warp Stalls - Long Scoreboard Not Issued,41160.0,24324.0,24657.0
Warp Stalls - Math Pipe Throttle Not Issued,1483.0,80.0,91.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,30.0,206.0,130.0
Warp Stalls - Misc Not Issued,71.0,199.0,148.0
Warp Stalls - No Instructions Not Issued,18143.0,17414.0,18360.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,1083.0,2308.0,1882.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,3.0,0.0,0.0
Warp Stalls - Wait Not Issued,7164.0,3853.0,4414.0
Occupancy,24934.710000000006,31952.349999999995,31720.689999999955
