,omp 100,sycl 100,cuda 100
Runtime,30210770810.0,2675725335.0,2537807445.0
HtoD copy time,13676894955.0,15887351870.0,15650889350.0
DtoH copy time,209184010.0,217721770.0,213010725.0
Instructions Executed,1510783277646.9875,82925208106.52005,80158668094.99985
IPC,0.4899666666666665,0.355066666666667,0.31666666666666726
Shared Memory Stores,212884200.0,0.0,0.0
Shared Memory Loads,1833319200.0,0.0,0.0
Shared Memory Store Bank Conflicts,1077985.0,0.0,0.0
Shared Memory Load Bank Conflicts,149117330.0,0.0,0.0
Global Memory Load Instructions,0.0,15903000000.0,15903000000.0
Global Memory Store Instructions,0.0,1282500000.0,1282500000.0
Global Memory Load (MB),62869.03999999994,145713.4499999995,163671.02999999974
Global Memory Store (MB),65284.90000000007,57618.740000000354,50738.690000000366
Global Memory Load Throughput (GB/s),188.3806,482.30149999999975,541.7635333333335
Global Memory Store Throughput (GB/s),196.8049333333333,190.98246666666662,168.04896666666673
Global Memory Load Bank Conflicts,7849394205.0,2432811866.0,2380688041.0
Global Memory Store Bank Conflicts,1445558753.0,283417418.0,383680154.0
L1 Cache Accesses (Bytes),227715.58999999997,5300.709999999996,5217.19999999999
L1 Cache Hits (%),36.43770000000007,61.549166666666814,54.00819999999987
L1 Cache Throughput (GB/s),686.8082999999997,2.5723999999999876,2.2940000000000045
L2 Cache Accesses (Bytes),152989.30999999974,176568.64,99480.69999999966
L2 Cache Hits (%),61.129866666666665,56.27690000000011,56.554433333333314
L2 Cache Throughput (GB/s),459.78069999999985,582.0899999999992,324.2097666666667
#Divergent Branches,65201400.0,0.0,0.0
Warp Stalls - Barrier Not Issued,35851647.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,3730783.0,30983.0,22278.0
Warp Stalls - Dispatch Stall Not Issued,234831.0,60602.0,67096.0
Warp Stalls - Drain Not Issued,465.0,130316.0,165599.0
Warp Stalls - IMC Miss Not Issued,25452.0,13940.0,11174.0
Warp Stalls - LG Throttle Not Issued,551235.0,3209912.0,5325036.0
Warp Stalls - Long Scoreboard Not Issued,359092253.0,74235477.0,60565419.0
Warp Stalls - Math Pipe Throttle Not Issued,345548.0,437382.0,368937.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,735.0,36485.0,62627.0
Warp Stalls - Misc Not Issued,30631.0,21962.0,17283.0
Warp Stalls - No Instructions Not Issued,2000750.0,23901.0,14696.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,585241.0,72409.0,70724.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,85.0,0.0,0.0
Warp Stalls - Wait Not Issued,277605279.0,1874915.0,1210937.0
Occupancy,7499.05999999999,15426.460000000012,15275.269999999993
