,omp 512 512 512 100 0,sycl 512 512 512 100 0,cuda 512 512 512 100 0
Runtime,354749435.0,415787530.0,208635975.0
HtoD copy time,71909830.0,71569825.0,72797105.0
DtoH copy time,61434470.0,142143925.0,144020605.0
#Threads,256.0,,256.0
#Teams,3200.0,,1024.0
Instructions Executed,78189437920.61002,32827748144.370007,31477950206.03
IPC,2.1842574257425738,1.3501980198019803,1.3270297029702967
Shared Memory Stores,0.0,1743007904.0,1743007904.0
Shared Memory Loads,0.0,4107212672.0,3739431272.0
Shared Memory Store Bank Conflicts,0.0,65562185.0,66505561.0
Shared Memory Load Bank Conflicts,0.0,314820869.0,264239635.0
Global Memory Load Instructions,2577772904.0,581349536.0,581349536.0
Global Memory Store Instructions,423624704.0,423624704.0,423624704.0
Global Memory Load (MB),54667.88999999998,95436.89999999998,96017.95999999995
Global Memory Store (MB),69672.29000000002,80244.63000000002,80485.07999999999
Global Memory Load Throughput (GB/s),539.3685148514851,306.6278217821784,310.58594059405937
Global Memory Store Throughput (GB/s),152.67772277227726,258.27574257425755,260.6791089108912
Global Memory Load Bank Conflicts,92983213.0,299888512.0,300604035.0
Global Memory Store Bank Conflicts,46462790.0,42018993.0,43478711.0
L1 Cache Accesses (Bytes),516.8699999999997,74037.99999999993,74723.91999999994
L1 Cache Hits (%),20.082475247524737,0.1476237623762376,0.16019801980198023
L1 Cache Throughput (GB/s),1.132871287128713,731.5295049504952,738.320792079208
L2 Cache Accesses (Bytes),92288.00999999991,73962.65999999995,74642.57999999987
L2 Cache Hits (%),42.94495049504951,64.97792079207919,64.90485148514851
L2 Cache Throughput (GB/s),910.5400990099006,730.7844554455445,737.5157425742568
#Divergent Branches,131872108.0,105596712.0,105596712.0
Warp Stalls - Barrier Not Issued,813892.0,2050393.0,2032564.0
Warp Stalls - Branch Resolving Not Issued,176053.0,113065.0,113325.0
Warp Stalls - Dispatch Stall Not Issued,34889.0,6218.0,6158.0
Warp Stalls - Drain Not Issued,68.0,64.0,53.0
Warp Stalls - IMC Miss Not Issued,3624.0,3471.0,2179.0
Warp Stalls - LG Throttle Not Issued,129800.0,123.0,216.0
Warp Stalls - Long Scoreboard Not Issued,4113477.0,3325102.0,3358595.0
Warp Stalls - Math Pipe Throttle Not Issued,189513.0,8150.0,5672.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,16040.0,160849.0,135709.0
Warp Stalls - Misc Not Issued,6004.0,6763.0,8268.0
Warp Stalls - No Instructions Not Issued,36117.0,8722.0,17128.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,132025.0,136349.0,92866.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,895.0,387.0,204.0
Warp Stalls - Wait Not Issued,688748.0,309951.0,266136.0
Occupancy,7344.04,8714.429999999998,8828.66
