,omp 100 omp offloading kernel,sycl 100 sycl kernel,cuda 100 cuda_kernel
Runtime,1469164500.0,1433020115.0,1488626890.0
HtoD copy time,6780.0,5150.0,4865.0
DtoH copy time,111800.0,114485.0,98200.0
Instructions Executed,93570600153.11012,66055800112.90006,56408100103.410065
IPC,0.7655500000000027,0.5645000000000039,0.5170500000000001
Shared Memory Stores,600000.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,10861.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,2154300000.0,2160000000.0,2160000000.0
Global Memory Store Instructions,900000.0,900000.0,900000.0
Global Memory Load (MB),124425.5400000003,133716.66999999978,147754.28999999986
Global Memory Store (MB),141316.91000000038,147913.6200000009,157257.48000000053
Global Memory Load Throughput (GB/s),252.70425000000012,274.3284499999999,303.71864999999997
Global Memory Store Throughput (GB/s),249.56484999999998,272.34259999999995,297.0939000000001
Global Memory Load Bank Conflicts,327224677.0,359917175.0,366373468.0
Global Memory Store Bank Conflicts,27801.0,28397.0,41665.0
L1 Cache Accesses (Bytes),124326.51999999957,134385.82000000062,141599.1399999998
L1 Cache Hits (%),47.302550000000025,48.47604999999999,41.40980000000001
L1 Cache Throughput (GB/s),616.8575999999999,667.1640999999997,703.2357
L2 Cache Accesses (Bytes),107224.40000000014,113754.26999999996,124176.86999999973
L2 Cache Hits (%),53.38184999999998,51.64335,50.307800000000015
L2 Cache Throughput (GB/s),531.9536999999998,564.6533000000001,616.6068499999998
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,2430743.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,626978.0,64132.0,32945.0
Warp Stalls - Dispatch Stall Not Issued,9052.0,35989.0,16412.0
Warp Stalls - Drain Not Issued,72.0,230.0,94.0
Warp Stalls - IMC Miss Not Issued,6494.0,7662.0,5572.0
Warp Stalls - LG Throttle Not Issued,346272.0,530983.0,824660.0
Warp Stalls - Long Scoreboard Not Issued,44961366.0,51482391.0,51391512.0
Warp Stalls - Math Pipe Throttle Not Issued,209501.0,377129.0,360197.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,177490.0,14858.0,21878.0
Warp Stalls - Misc Not Issued,4482.0,1700.0,1567.0
Warp Stalls - No Instructions Not Issued,174980.0,62243.0,27423.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,607439.0,453356.0,240419.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,2838657.0,2721072.0,1605185.0
Occupancy,6760.379999999998,8134.4000000000015,10118.850000000004
