,omp -s 8192,sycl -s 8192,cuda -s 8192
Runtime,778895175.0,8557096960.0,4360274885.0
HtoD copy time,34501045.0,59424380.0,59352320.0
DtoH copy time,28911290.0,57278195.0,56259400.0
Instructions Executed,64830141143.4798,45194727303.7796,20470613448.07011
IPC,0.8080052151238752,0.5891655801825251,0.46419165580183125
Shared Memory Stores,2895615488.0,753500416.0,397815808.0
Shared Memory Loads,8283276800.0,11494808576.0,1507154688.0
Shared Memory Store Bank Conflicts,147736607.0,151772765.0,132993614.0
Shared Memory Load Bank Conflicts,412952122.0,455401843.0,196251085.0
Global Memory Load Instructions,1076885504.0,1076754688.0,720019456.0
Global Memory Store Instructions,360798208.0,360798208.0,360929024.0
Global Memory Load (MB),640825.2999999964,688187.1300000012,692351.0700000025
Global Memory Store (MB),228805.91999999995,239540.33000000034,274900.00999999983
Global Memory Load Throughput (GB/s),218.98580834419786,248.83323337679295,252.41482398956978
Global Memory Store Throughput (GB/s),88.76303129074309,93.78089308996101,107.96411342894376
Global Memory Load Bank Conflicts,1132680530.0,1139984823.0,865211280.0
Global Memory Store Bank Conflicts,382246515.0,383582216.0,372560523.0
L1 Cache Accesses (Bytes),681745.4799999949,709483.179999997,697473.1299999937
L1 Cache Hits (%),46.15721642764005,45.96526075619284,50.00149934810966
L1 Cache Throughput (GB/s),268.246805736636,286.327275097784,295.81520208604866
L2 Cache Accesses (Bytes),683288.6399999927,681092.900000003,625924.8200000009
L2 Cache Hits (%),73.66889830508465,70.22252281616615,66.53903520208651
L2 Cache Throughput (GB/s),266.22446544980403,265.45308996088636,258.1561994784866
#Divergent Branches,407808.0,407808.0,407808.0
Warp Stalls - Barrier Not Issued,1083227.0,205832.0,372817.0
Warp Stalls - Branch Resolving Not Issued,115503.0,23762.0,39415.0
Warp Stalls - Dispatch Stall Not Issued,3881.0,8956.0,11802.0
Warp Stalls - Drain Not Issued,7401.0,52028.0,138992.0
Warp Stalls - IMC Miss Not Issued,32573.0,26149.0,28677.0
Warp Stalls - LG Throttle Not Issued,5491.0,428.0,3489.0
Warp Stalls - Long Scoreboard Not Issued,2330847.0,2301897.0,4917112.0
Warp Stalls - Math Pipe Throttle Not Issued,90210.0,14349.0,18701.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1603967.0,1101449.0,215046.0
Warp Stalls - Misc Not Issued,8049.0,3989.0,5445.0
Warp Stalls - No Instructions Not Issued,208822.0,205185.0,131619.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,335227.0,225621.0,345346.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,29713.0,15.0,347.0
Warp Stalls - Wait Not Issued,533191.0,357181.0,396932.0
Occupancy,49830.759999999544,48251.8399999996,47178.06999999967
