,omp 3 1000 omp offloading kernel,sycl 3 1000 sycl kernel,cuda 3 1000 cuda_kernel
Runtime,203013050.0,213660540.0,194999065.0
HtoD copy time,5403435.0,5503585.0,5590420.0
DtoH copy time,117715.0,116720.0,117620.0
#Threads,256.0,,256.0
#Teams,288.0,,288.0
Instructions Executed,13198231696.649765,13206146603.649765,12336669992.199823
IPC,0.6499999999999878,0.6499999999999878,0.6465534465534347
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,890233344.0,890233344.0,592720128.0
Global Memory Store Instructions,2306304.0,2306304.0,2306304.0
Global Memory Load (MB),220032.85999999946,220908.55999999886,229227.53999999934
Global Memory Store (MB),10328.75000000008,10742.409999999958,10809.500000000084
Global Memory Load Throughput (GB/s),180.5431268731269,181.39788211788198,189.63803196803192
Global Memory Store Throughput (GB/s),8.474955044955035,8.820919080919094,8.942617382617371
Global Memory Load Bank Conflicts,1854706005.0,1853536991.0,442611121.0
Global Memory Store Bank Conflicts,1899092.0,2093298.0,2006504.0
L1 Cache Accesses (Bytes),622476.7499999957,622498.8599999937,322952.14999999566
L1 Cache Hits (%),52.29176823176821,52.311298701298654,11.072887112887118
L1 Cache Throughput (GB/s),2.8457342657342486,2.8579520479520206,1.5470229770229507
L2 Cache Accesses (Bytes),321596.19999999757,321456.78999999835,307430.5799999991
L2 Cache Hits (%),87.77096903096907,87.71861138861131,87.25034965034968
L2 Cache Throughput (GB/s),1.4702097902098108,1.4759140859141031,1.4725674325674512
#Divergent Branches,28761733.0,28761733.0,28761733.0
Warp Stalls - Barrier Not Issued,78964.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,104871.0,105441.0,98475.0
Warp Stalls - Dispatch Stall Not Issued,2001.0,1886.0,1459.0
Warp Stalls - Drain Not Issued,437.0,7547.0,7054.0
Warp Stalls - IMC Miss Not Issued,25636.0,27118.0,24082.0
Warp Stalls - LG Throttle Not Issued,741284.0,734721.0,499515.0
Warp Stalls - Long Scoreboard Not Issued,6093257.0,6143399.0,5940602.0
Warp Stalls - Math Pipe Throttle Not Issued,10063.0,9870.0,9247.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,10.0,2.0,126.0
Warp Stalls - Misc Not Issued,1004.0,1450.0,945.0
Warp Stalls - No Instructions Not Issued,30583.0,30826.0,30279.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,56371.0,58400.0,55712.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,7.0,0.0,0.0
Warp Stalls - Wait Not Issued,527808.0,511503.0,467814.0
Occupancy,45184.80000000007,44919.60999999996,44948.75000000019
