,omp 1 1 omp offloading kernel,sycl 1 1 sycl kernel,cuda 1 1 cuda_kernel
Runtime,71121790.0,69534650.0,71390240.0
HtoD copy time,2465.0,19185.0,18560.0
DtoH copy time,21730.0,20735.0,20360.0
#Threads,256.0,,
#Teams,3200.0,,
Instructions Executed,14780918997.460001,14548136006.500002,15173554497.59
IPC,2.1149999999999998,2.125,2.1475
Shared Memory Stores,7416288.0,0.0,0.0
Shared Memory Loads,3400930.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,0.0,0.0,0.0
Global Memory Store Instructions,52.0,52.0,52.0
Global Memory Load (MB),514.5699999999999,1019.88,1584.95
Global Memory Store (MB),0.0,0.0,0.0
Global Memory Load Throughput (GB/s),113.52250000000001,233.5925,381.195
Global Memory Store Throughput (GB/s),0.0,0.0,0.0
Global Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Store Bank Conflicts,14.0,10.0,8.0
L1 Cache Accesses (Bytes),1935.8500000000001,1943.62,1933.3100000000002
L1 Cache Hits (%),76.92,76.92,76.92
L1 Cache Throughput (GB/s),67.9625,69.905,67.3275
L2 Cache Accesses (Bytes),859.2999999999998,121.78,551.68
L2 Cache Hits (%),134.06750000000002,1032.445,1254.3999999999999
L2 Cache Throughput (GB/s),134.1075,22.0275,133.92000000000002
#Divergent Branches,7.0,4.0,4.0
Warp Stalls - Barrier Not Issued,11924.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,4423.0,5911.0,2618.0
Warp Stalls - Dispatch Stall Not Issued,188.0,183.0,231.0
Warp Stalls - Drain Not Issued,2.0,7.0,6.0
Warp Stalls - IMC Miss Not Issued,62.0,80.0,95.0
Warp Stalls - LG Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Long Scoreboard Not Issued,199.0,0.0,0.0
Warp Stalls - Math Pipe Throttle Not Issued,623379.0,695427.0,708162.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,4.0,18.0,4.0
Warp Stalls - Misc Not Issued,15.0,2.0,1.0
Warp Stalls - No Instructions Not Issued,4416.0,1925.0,3121.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,212.0,2805.0,45.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,166182.0,103451.0,105949.0
Occupancy,246.14000000000001,387.51,387.2
