,omp 32 32 8192 8192 100,sycl 32 32 8192 8192 100,cuda 32 32 8192 8192 100
Runtime,1788496660.0,1659083240.0,2007455420.0
HtoD copy time,1907530940.0,9140825.0,8753930.0
DtoH copy time,31835455.0,12896040.0,12582050.0
Instructions Executed,236978176463.95966,170708173123.55954,168189952319.58966
IPC,1.1598999999999986,0.8089000000000033,0.7989750000000029
Shared Memory Stores,16777216000.0,11744051200.0,11744051200.0
Shared Memory Loads,21810380800.0,20129382400.0,20129382400.0
Shared Memory Store Bank Conflicts,550697347.0,358050026.0,365967705.0
Shared Memory Load Bank Conflicts,238851562.0,233225802.0,232654380.0
Global Memory Load Instructions,1677721600.0,1677721600.0,1677721600.0
Global Memory Store Instructions,1258291200.0,840499200.0,840499200.0
Global Memory Load (MB),32791.96000000009,33097.639999999876,33098.40999999989
Global Memory Store (MB),42101.76999999999,40967.9699999999,40968.21999999996
Global Memory Load Throughput (GB/s),14.608774999999957,15.375125000000041,15.377625000000029
Global Memory Store Throughput (GB/s),18.881424999999947,19.019624999999998,19.022574999999975
Global Memory Load Bank Conflicts,20022966832.0,19954659050.0,19950484934.0
Global Memory Store Bank Conflicts,16621559723.0,15993816961.0,16002641835.0
L1 Cache Accesses (Bytes),69711.64000000028,69802.33000000015,69806.06000000013
L1 Cache Hits (%),12.079999999999991,5.728425000000005,5.611350000000004
L1 Cache Throughput (GB/s),37.249100000000155,37.48582499999991,37.495149999999896
L2 Cache Accesses (Bytes),256760.96000000046,74460.17000000083,73891.1400000008
L2 Cache Hits (%),95.41619999999998,93.68740000000007,94.04437500000007
L2 Cache Throughput (GB/s),498.2123,40.005124999999914,39.70539999999993
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,8395770.0,4986576.0,2596899.0
Warp Stalls - Branch Resolving Not Issued,1207059.0,542817.0,278529.0
Warp Stalls - Dispatch Stall Not Issued,10652.0,5419.0,2810.0
Warp Stalls - Drain Not Issued,104560.0,2010546.0,1296826.0
Warp Stalls - IMC Miss Not Issued,19983.0,14008.0,9777.0
Warp Stalls - LG Throttle Not Issued,4077787.0,695266.0,333403.0
Warp Stalls - Long Scoreboard Not Issued,4695675.0,10559468.0,5121133.0
Warp Stalls - Math Pipe Throttle Not Issued,299371.0,204136.0,93619.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,25328254.0,24645745.0,12043944.0
Warp Stalls - Misc Not Issued,8965.0,2460.0,199.0
Warp Stalls - No Instructions Not Issued,281432.0,424021.0,173673.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,12367211.0,14853291.0,7257524.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,1051145.0,38410.0,16708.0
Warp Stalls - Wait Not Issued,7659888.0,10953973.0,5887421.0
Occupancy,14891.820000000047,12703.079999999965,12700.999999999958
