,omp 10000000 1000,sycl 10000000 1000,cuda 10000000 1000
Runtime,1361852950.0,1436609420.0,1440523130.0
HtoD copy time,22922030.0,23810795.0,21005330.0
DtoH copy time,14327130.0,20880670.0,21022930.0
Instructions Executed,111935531072.18474,59375129619.564445,48750113265.58836
IPC,0.7680449999999989,0.4048900000000236,0.31639749999999467
Shared Memory Stores,2602432000.0,0.0,0.0
Shared Memory Loads,1250000000.0,0.0,0.0
Shared Memory Store Bank Conflicts,4129209.0,0.0,0.0
Shared Memory Load Bank Conflicts,24162572.0,0.0,0.0
Global Memory Load Instructions,5625000000.0,5000000000.0,5000000000.0
Global Memory Store Instructions,3125000000.0,3125000000.0,3750000000.0
Global Memory Load (MB),2647256.7999999905,2667145.1099999906,2668697.299999965
Global Memory Store (MB),1480357.6799999587,1495658.1300000625,1489815.4500000665
Global Memory Load Throughput (GB/s),495.7564774999983,504.4165700000004,504.45820249999986
Global Memory Store Throughput (GB/s),276.2473999999994,282.01906750000023,280.78367000000014
Global Memory Load Bank Conflicts,1422635259.0,1450204682.0,1391143712.0
Global Memory Store Bank Conflicts,206802561.0,204224438.0,215482414.0
L1 Cache Accesses (Bytes),4710151.999999838,4552730.340000214,4545463.010000176
L1 Cache Hits (%),14.556665000000011,11.731450000000006,11.688552500000013
L1 Cache Throughput (GB/s),878.0030000000006,858.5725850000059,856.7557524999997
L2 Cache Accesses (Bytes),4731316.759999766,4781158.190000001,4773721.949999984
L2 Cache Hits (%),42.98297500000067,43.14815999999962,43.05792749999939
L2 Cache Throughput (GB/s),881.8507524999991,900.7607849999979,898.8676549999989
#Divergent Branches,0.0,0.0,625000000.0
Warp Stalls - Barrier Not Issued,2235076.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,55025.0,84859.0,103023.0
Warp Stalls - Dispatch Stall Not Issued,1499.0,18479.0,7373.0
Warp Stalls - Drain Not Issued,3084.0,1169078.0,702138.0
Warp Stalls - IMC Miss Not Issued,174272.0,73120.0,85504.0
Warp Stalls - LG Throttle Not Issued,1129001.0,2137090.0,1508650.0
Warp Stalls - Long Scoreboard Not Issued,35202067.0,44510317.0,32763605.0
Warp Stalls - Math Pipe Throttle Not Issued,142572.0,45190.0,12043.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,89178.0,408740.0,269313.0
Warp Stalls - Misc Not Issued,453.0,1389.0,6386.0
Warp Stalls - No Instructions Not Issued,58664.0,80302.0,77702.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,195180.0,448063.0,281067.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,69108.0,0.0,0.0
Warp Stalls - Wait Not Issued,616588.0,494763.0,408954.0
Occupancy,386931.2499999996,377088.3300000007,371651.3999999989
