,omp 100000 100,sycl 100000 100,cuda 100000 100
Runtime,390449750.0,401291890.0,989473035.0
HtoD copy time,64321850.0,68634065.0,66600580.0
DtoH copy time,135860.0,159725.0,158320.0
#Threads,256.0,256.0,256.0
#Teams,391.0,391.0,100096.0
Instructions Executed,19869020244.54001,19763557144.100006,21889918820.000042
IPC,0.4454000000000001,0.4409999999999999,0.19999999999999962
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,3043022200.0,3061577400.0,3041111600.0
Global Memory Store Instructions,625000.0,625000.0,625000.0
Global Memory Load (MB),78910.62000000001,27430.870000000003,31969.479999999985
Global Memory Store (MB),83207.35000000002,84206.35999999994,39676.220000000016
Global Memory Load Throughput (GB/s),245.3536000000001,273.202,316.4652
Global Memory Store Throughput (GB/s),828.7043000000002,838.6669999999999,392.75430000000006
Global Memory Load Bank Conflicts,1556704799.0,1472235701.0,1197845913.0
Global Memory Store Bank Conflicts,1290759.0,1288551.0,1294942.0
L1 Cache Accesses (Bytes),1991.1400000000021,1990.0900000000051,1749.069999999998
L1 Cache Hits (%),94.53560000000002,93.2088,76.04560000000006
L1 Cache Throughput (GB/s),3.931400000000001,3.9408999999999996,1.560700000000001
L2 Cache Accesses (Bytes),111996.39000000001,28165.73,38603.22000000008
L2 Cache Hits (%),44.7162,50.85890000000002,58.58670000000002
L2 Cache Throughput (GB/s),221.06459999999998,280.5210000000001,382.13220000000007
#Divergent Branches,13499400.0,13499400.0,13499400.0
Warp Stalls - Barrier Not Issued,95912.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,9441.0,6367.0,16058.0
Warp Stalls - Dispatch Stall Not Issued,16302.0,6488.0,9223.0
Warp Stalls - Drain Not Issued,32.0,219.0,3859.0
Warp Stalls - IMC Miss Not Issued,2827.0,652.0,2346.0
Warp Stalls - LG Throttle Not Issued,13953240.0,5979383.0,24405429.0
Warp Stalls - Long Scoreboard Not Issued,1518819.0,1832061.0,6335754.0
Warp Stalls - Math Pipe Throttle Not Issued,6683.0,6150.0,11865.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1.0,0.0,97454.0
Warp Stalls - Misc Not Issued,7036.0,2981.0,3884.0
Warp Stalls - No Instructions Not Issued,5667.0,2357.0,6686.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,914.0,598.0,134452.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,214339.0,114102.0,191107.0
Occupancy,6111.340000000001,6048.889999999992,6157.9000000000015
