,omp 100000 1000 5,sycl 100000 1000 5,cuda 100000 1000 5
Runtime,402336930.0,296699250.0,326493995.0
HtoD copy time,58010735.0,58462450.0,58366055.0
DtoH copy time,41630.0,47610.0,50135.0
#Threads,250.0,250.0,250.0
#Teams,400000.0,400000.0,400000.0
Instructions Executed,157733918949.97992,112945653143.95958,115845163128.0196
IPC,3.4499000000000053,3.539799999999996,3.4501000000000057
Shared Memory Stores,8960130554.0,3200130554.0,2560797326.0
Shared Memory Loads,5126791662.0,2567458434.0,2567458434.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,166567.0,244083.0,221759.0
Global Memory Load Instructions,643997326.0,643997326.0,7327880.0
Global Memory Store Instructions,640666772.0,1333544.0,3997326.0
Global Memory Load (MB),709.869999999995,795.6999999999997,775.8099999999995
Global Memory Store (MB),38106.18999999999,42501.00000000009,41489.21
Global Memory Load Throughput (GB/s),1.1500500000000036,1.5793000000000008,1.480199999999999
Global Memory Store Throughput (GB/s),61.7309499999999,84.18499999999982,79.12605000000019
Global Memory Load Bank Conflicts,60717.0,57625.0,60021.0
Global Memory Store Bank Conflicts,57463.0,51936.0,54849.0
L1 Cache Accesses (Bytes),1005.2799999999961,1125.8100000000013,1096.6599999999994
L1 Cache Hits (%),23.979049999999997,23.953599999999998,24.04535000000002
L1 Cache Throughput (GB/s),1.6296499999999967,2.230100000000005,2.0902999999999925
L2 Cache Accesses (Bytes),976.1299999999998,1007.1199999999978,983.1099999999972
L2 Cache Hits (%),38.70834999999998,32.98824999999998,33.08669999999999
L2 Cache Throughput (GB/s),1.5810000000000013,1.9953500000000028,1.8755499999999998
#Divergent Branches,320100568.0,320100568.0,833542.0
Warp Stalls - Barrier Not Issued,780637.0,352845.0,189213.0
Warp Stalls - Branch Resolving Not Issued,128491.0,65950.0,42357.0
Warp Stalls - Dispatch Stall Not Issued,16128.0,5793.0,22917.0
Warp Stalls - Drain Not Issued,2781.0,1861.0,1351.0
Warp Stalls - IMC Miss Not Issued,8453.0,8419.0,4331.0
Warp Stalls - LG Throttle Not Issued,1.0,0.0,0.0
Warp Stalls - Long Scoreboard Not Issued,12284.0,7169.0,4122.0
Warp Stalls - Math Pipe Throttle Not Issued,866712.0,792370.0,463379.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,166860.0,2223.0,836.0
Warp Stalls - Misc Not Issued,1175.0,395.0,588.0
Warp Stalls - No Instructions Not Issued,36193.0,29517.0,18699.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,68599.0,19952.0,35702.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,28603.0,742.0,267.0
Warp Stalls - Wait Not Issued,388528.0,278446.0,187844.0
Occupancy,19041.629999999903,18682.94999999997,18744.829999999936
