,omp 125,sycl 125,cuda 125
Runtime,236688670.0,361222930.0,293596655.0
HtoD copy time,1646685.0,2310775.0,2339185.0
DtoH copy time,1654015.0,4076870.0,4090050.0
Instructions Executed,46507711207.92905,32879990053.420837,29756733464.850117
IPC,1.0346550000000079,1.0089033333333373,0.9108083333333431
Shared Memory Stores,4415118000.0,2709584000.0,2578512000.0
Shared Memory Loads,4731538000.0,3786880000.0,3721344000.0
Shared Memory Store Bank Conflicts,1311422489.0,1584801131.0,1316131523.0
Shared Memory Load Bank Conflicts,413927268.0,227265844.0,228488104.0
Global Memory Load Instructions,542736000.0,366608000.0,301072000.0
Global Memory Store Instructions,409608000.0,249864000.0,249864000.0
Global Memory Load (MB),1180876.180000068,1589669.9400001187,1603529.4100001054
Global Memory Store (MB),893437.5799999895,1830540.5600000804,1653916.2200000754
Global Memory Load Throughput (GB/s),181.42544999999942,250.05200500000234,252.36063666666618
Global Memory Store Throughput (GB/s),133.3292116666668,137.0965383333343,131.9740116666676
Global Memory Load Bank Conflicts,966513060.0,389343192.0,242861847.0
Global Memory Store Bank Conflicts,752920850.0,295125927.0,296037774.0
L1 Cache Accesses (Bytes),2502324.169999952,2215771.3800000357,3136063.04999996
L1 Cache Hits (%),52.13953999999975,14.584728333333159,11.022566666666496
L1 Cache Throughput (GB/s),370.6987466666585,344.61210000000153,500.78988666666265
L2 Cache Accesses (Bytes),3700645.470000045,3164104.280000219,3186229.100000193
L2 Cache Hits (%),59.639928333333586,44.1977016666664,44.183201666666804
L2 Cache Throughput (GB/s),583.5797050000021,504.8742966666695,508.5720366666646
#Divergent Branches,33025000.0,32768000.0,32768000.0
Warp Stalls - Barrier Not Issued,1738908.0,942229.0,1055642.0
Warp Stalls - Branch Resolving Not Issued,72306.0,38677.0,46323.0
Warp Stalls - Dispatch Stall Not Issued,6278.0,3154.0,5494.0
Warp Stalls - Drain Not Issued,49712.0,158294.0,178652.0
Warp Stalls - IMC Miss Not Issued,168408.0,183119.0,179652.0
Warp Stalls - LG Throttle Not Issued,373250.0,125784.0,143660.0
Warp Stalls - Long Scoreboard Not Issued,1417484.0,1806289.0,1957313.0
Warp Stalls - Math Pipe Throttle Not Issued,19086.0,11356.0,11937.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1404711.0,933074.0,906446.0
Warp Stalls - Misc Not Issued,6913.0,2007.0,4782.0
Warp Stalls - No Instructions Not Issued,245594.0,175984.0,174433.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,464072.0,377657.0,417473.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,25852.0,3450.0,3794.0
Warp Stalls - Wait Not Issued,378559.0,286779.0,306046.0
Occupancy,333802.599999995,342970.250000006,334411.5300000071
