,omp 1000,sycl 1000,cuda 1000
Runtime,527850635.0,526072305.0,525624915.0
HtoD copy time,19455650.0,19480710.0,18151905.0
DtoH copy time,23768490.0,35554615.0,34215540.0
#Threads,256.0,256.0,256.0
#Teams,16384.0,16384.0,16384.0
Instructions Executed,35782656500.44996,30277632419.999245,28704768389.99962
IPC,0.5004499999999997,0.4200000000000028,0.389999999999991
Shared Memory Stores,3014656000.0,2228224000.0,2228224000.0
Shared Memory Loads,3538944000.0,3276800000.0,3276800000.0
Shared Memory Store Bank Conflicts,0.0,37076056.0,37670637.0
Shared Memory Load Bank Conflicts,8701752067.0,8324447854.0,8322497403.0
Global Memory Load Instructions,1179648000.0,1179648000.0,1179648000.0
Global Memory Store Instructions,2097152000.0,2097152000.0,2097152000.0
Global Memory Load (MB),390024.6799999962,391338.17999999505,391654.0499999948
Global Memory Store (MB),773990.499999998,776068.1700000041,776690.2600000026
Global Memory Load Throughput (GB/s),255.7342900000004,257.0478600000003,257.36378999999977
Global Memory Store Throughput (GB/s),507.49745000000024,509.7587199999999,510.38259000000045
Global Memory Load Bank Conflicts,29853071.0,111387168.0,112179916.0
Global Memory Store Bank Conflicts,31419908.0,115283499.0,117617143.0
L1 Cache Accesses (Bytes),1170973.220000014,1174925.7600000137,1175875.8000000129
L1 Cache Hits (%),2.78399,1e-05,0.0008300000000000006
L1 Cache Throughput (GB/s),767.7932200000004,771.7457599999997,772.6957999999979
L2 Cache Accesses (Bytes),1171028.3499999768,1174933.6900000111,1175881.830000012
L2 Cache Hits (%),66.75271000000018,66.71328999999984,66.71262999999973
L2 Cache Throughput (GB/s),767.829619999999,771.7528700000008,772.7013899999979
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,6203389.0,3777907.0,5007707.0
Warp Stalls - Branch Resolving Not Issued,64656.0,6310.0,8487.0
Warp Stalls - Dispatch Stall Not Issued,3746.0,2706.0,3336.0
Warp Stalls - Drain Not Issued,5645.0,258212.0,342616.0
Warp Stalls - IMC Miss Not Issued,14596.0,12935.0,28930.0
Warp Stalls - LG Throttle Not Issued,4371532.0,4876942.0,6244298.0
Warp Stalls - Long Scoreboard Not Issued,4970380.0,2877111.0,3495379.0
Warp Stalls - Math Pipe Throttle Not Issued,15244.0,6636.0,6468.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,5152591.0,5078926.0,6657670.0
Warp Stalls - Misc Not Issued,2511.0,3147.0,3091.0
Warp Stalls - No Instructions Not Issued,32942.0,18638.0,34149.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,522750.0,285284.0,381220.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,144242.0,21189.0,25779.0
Warp Stalls - Wait Not Issued,315624.0,154521.0,244409.0
Occupancy,73693.01000000011,97046.82999999996,96883.07000000021
