,coin.bmp 100 omp offloading kernel,coin.bmp 100 sycl kernel,coin.bmp 100 cuda_kernel
Runtime,942624805.0,3930692790.0,1127230060.0
HtoD copy time,628490.0,229355.0,216215.0
DtoH copy time,300440.0,299795.0,299645.0
Instructions Executed,283657245628.37994,439788054922.19,239863611026.50964
IPC,1.4279333333333295,1.7406333333333328,1.4216999999999955
Shared Memory Stores,3398800.0,5543300.0,5543300.0
Shared Memory Loads,3880800.0,4573800.0,13444200.0
Shared Memory Store Bank Conflicts,20.0,0.0,0.0
Shared Memory Load Bank Conflicts,4200.0,1650.0,4336.0
Global Memory Load Instructions,60971220000.0,58981814700.0,58981814700.0
Global Memory Store Instructions,554000.0,564000.0,564000.0
Global Memory Load (MB),252079.03000000078,270892.5999999996,270067.93999999925
Global Memory Store (MB),25861.439999999995,96036.47000000023,48350.479999999996
Global Memory Load Throughput (GB/s),53.253866666666646,117.63800000000003,117.33613333333336
Global Memory Store Throughput (GB/s),7.591466666666667,31.374899999999986,12.048266666666672
Global Memory Load Bank Conflicts,645504.0,16201222377.0,16118590773.0
Global Memory Store Bank Conflicts,779.0,285227.0,285665.0
L1 Cache Accesses (Bytes),209617.79000000065,203500.93000000023,202431.8300000002
L1 Cache Hits (%),45.273000000000216,39.71903333333328,39.7133333333332
L1 Cache Throughput (GB/s),33.31263333333331,113.93976666666654,110.37609999999981
L2 Cache Accesses (Bytes),181145.49000000014,181314.39999999967,180990.81999999937
L2 Cache Hits (%),43.34126666666669,36.210800000000056,36.103300000000054
L2 Cache Throughput (GB/s),29.803999999999974,100.45903333333324,96.95346666666677
#Divergent Branches,202457400.0,123803000.0,105150200.0
Warp Stalls - Barrier Not Issued,1247477.0,4775.0,7625.0
Warp Stalls - Branch Resolving Not Issued,71000.0,21505.0,29038.0
Warp Stalls - Dispatch Stall Not Issued,22369.0,115674.0,7281.0
Warp Stalls - Drain Not Issued,730.0,869.0,907.0
Warp Stalls - IMC Miss Not Issued,15341.0,10147.0,11443.0
Warp Stalls - LG Throttle Not Issued,7256711.0,110281.0,12035568.0
Warp Stalls - Long Scoreboard Not Issued,120630.0,186430.0,103066.0
Warp Stalls - Math Pipe Throttle Not Issued,274191.0,7991886.0,60715.0
Warp Stalls - Membar Not Issued,2457.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,422.0,38.0,611.0
Warp Stalls - Misc Not Issued,3826.0,2133.0,1726.0
Warp Stalls - No Instructions Not Issued,65757.0,177523.0,34695.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,3332.0,1369.0,2692.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,78.0,2.0,2.0
Warp Stalls - Wait Not Issued,915994.0,1125108.0,505615.0
Occupancy,14015.309999999998,21255.86,22818.719999999987
