,omp 67108864 25,sycl 67108864 25,cuda 67108864 25
Runtime,2619156960.0,5018935840.0,4962534600.0
HtoD copy time,1303677820.0,1341424835.0,1329733370.0
DtoH copy time,2882541690.0,4477625525.0,4455036130.0
Instructions Executed,627810308035.5806,473013890496.6088,493061199270.0426
IPC,2.0177900000000037,1.2483050000000069,1.235020000000009
Shared Memory Stores,44974080000.0,59644313600.0,61341696000.0
Shared Memory Loads,47156428800.0,75792384000.0,81788928000.0
Shared Memory Store Bank Conflicts,27444491305.0,30780239665.0,27388736867.0
Shared Memory Load Bank Conflicts,36482917274.0,39289188553.0,37926597245.0
Global Memory Load Instructions,4194304000.0,4194304000.0,4194304000.0
Global Memory Store Instructions,4194304000.0,4194304000.0,4194304000.0
Global Memory Load (MB),839495.4699999838,825506.4399999849,811240.9499999838
Global Memory Store (MB),937304.6799999999,952868.6999999965,937797.0299999985
Global Memory Load Throughput (GB/s),168.06360499999982,160.85684999999998,153.70950000000013
Global Memory Store Throughput (GB/s),184.6675599999999,181.69072500000016,175.31512499999997
Global Memory Load Bank Conflicts,1804780403.0,1788210538.0,1801282625.0
Global Memory Store Bank Conflicts,2331041399.0,2227224817.0,2279190024.0
L1 Cache Accesses (Bytes),1384302.2899999886,1340136.0099999928,1326440.4799999844
L1 Cache Hits (%),34.243240000000036,34.3405700000001,34.315460000000094
L1 Cache Throughput (GB/s),473.5098950000006,451.4267549999993,444.5789900000003
L2 Cache Accesses (Bytes),1460060.900000009,1442277.369999997,1420220.7000000016
L2 Cache Hits (%),62.719799999999374,63.086964999999864,63.03220999999987
L2 Cache Throughput (GB/s),422.54813500000034,408.4264600000004,398.5896750000001
#Divergent Branches,2641100800.0,357171200.0,0.0
Warp Stalls - Barrier Not Issued,32321178.0,32358813.0,31794266.0
Warp Stalls - Branch Resolving Not Issued,1890373.0,236927.0,53719.0
Warp Stalls - Dispatch Stall Not Issued,49002.0,32957.0,5544.0
Warp Stalls - Drain Not Issued,54690.0,57097.0,37257.0
Warp Stalls - IMC Miss Not Issued,51465.0,49301.0,53549.0
Warp Stalls - LG Throttle Not Issued,881636.0,2874083.0,2170862.0
Warp Stalls - Long Scoreboard Not Issued,5392791.0,13200703.0,12986985.0
Warp Stalls - Math Pipe Throttle Not Issued,298188.0,100817.0,182099.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,18264717.0,31339330.0,32246169.0
Warp Stalls - Misc Not Issued,29228.0,35481.0,720.0
Warp Stalls - No Instructions Not Issued,525019.0,103439.0,86112.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,6386107.0,13362922.0,15180061.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,2705279.0,823120.0,733234.0
Warp Stalls - Wait Not Issued,3499638.0,5497891.0,6082489.0
Occupancy,193762.81999999995,159834.92000000062,152753.26999999935
