,omp 16777216 10240 100,sycl 16777216 10240 100,cuda 16777216 10240 100
Runtime,7181469590.0,6453166890.0,6580538100.0
HtoD copy time,734740615.0,740758210.0,732882775.0
DtoH copy time,96305.0,96045.0,94330.0
Instructions Executed,50113421385.78991,20990175870.999706,24780999889.5895
IPC,0.3254388888888904,0.15055555555555317,0.16088333333333354
Shared Memory Stores,274176000.0,0.0,0.0
Shared Memory Loads,63360000.0,0.0,0.0
Shared Memory Store Bank Conflicts,176518.0,0.0,0.0
Shared Memory Load Bank Conflicts,2546.0,0.0,0.0
Global Memory Load Instructions,6840537000.0,5925661800.0,5928086400.0
Global Memory Store Instructions,24960000.0,6528000.0,6528000.0
Global Memory Load (MB),901163.8300000095,1262221.3199999908,1260682.2100000011
Global Memory Store (MB),442117.4599999927,201270.11000000022,332416.80000000057
Global Memory Load Throughput (GB/s),225.3253888888892,422.72748333333254,421.8530000000023
Global Memory Store Throughput (GB/s),243.968472222226,110.1626333333332,183.02085555555442
Global Memory Load Bank Conflicts,31797020405.0,32764100396.0,32715448061.0
Global Memory Store Bank Conflicts,23980.0,213214.0,206240.0
L1 Cache Accesses (Bytes),965565.9099999962,496371.8999999962,490431.95999999845
L1 Cache Hits (%),71.41887222222206,76.24069444444397,75.3883277777783
L1 Cache Throughput (GB/s),361.21259444444365,97.91564999999981,94.6204666666666
L2 Cache Accesses (Bytes),1163040.990000001,1456217.42000001,1493465.9700000114
L2 Cache Hits (%),49.550922222222134,43.21153333333335,43.828811111110916
L2 Cache Throughput (GB/s),296.7025277777778,457.37846666666644,463.91240000000045
#Divergent Branches,22295400.0,14704800.0,13273200.0
Warp Stalls - Barrier Not Issued,11278137.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,267307.0,34115.0,141237.0
Warp Stalls - Dispatch Stall Not Issued,1725.0,503.0,2951.0
Warp Stalls - Drain Not Issued,1447.0,3420.0,5444.0
Warp Stalls - IMC Miss Not Issued,48992.0,11832.0,37392.0
Warp Stalls - LG Throttle Not Issued,9386126.0,30074702.0,23385600.0
Warp Stalls - Long Scoreboard Not Issued,70587984.0,21739920.0,47023563.0
Warp Stalls - Math Pipe Throttle Not Issued,43370.0,4726.0,8529.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,5229.0,105.0,193.0
Warp Stalls - Misc Not Issued,487.0,234.0,576.0
Warp Stalls - No Instructions Not Issued,190215.0,28483.0,114182.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,23628.0,6654.0,10780.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,814.0,0.0,0.0
Warp Stalls - Wait Not Issued,4160506.0,1066663.0,2092405.0
Occupancy,54477.61999999996,74283.99000000063,74225.95999999998
