,omp 100,sycl 100,cuda 100
Runtime,3147407195.0,3343071195.0,3468692560.0
HtoD copy time,843040.0,900600.0,844385.0
DtoH copy time,830110.0,1514095.0,893620.0
Instructions Executed,6242235226.999982,6242216826.000019,5862237622.000023
IPC,0.13499999999999976,0.13000000000000075,0.11000000000000006
Shared Memory Stores,320172800.0,320163200.0,480163200.0
Shared Memory Loads,1120400000.0,1120396800.0,1280396800.0
Shared Memory Store Bank Conflicts,480091200.0,480091200.0,480091200.0
Shared Memory Load Bank Conflicts,1680252000.0,1680252000.0,1680252000.0
Global Memory Load Instructions,12800.0,12800.0,160012800.0
Global Memory Store Instructions,0.0,0.0,160000000.0
Global Memory Load (MB),51115.74000000002,48291.160000000025,53893.80999999991
Global Memory Store (MB),37543.59000000001,35186.35000000002,39611.809999999976
Global Memory Load Throughput (GB/s),250.75879999999987,236.63595000000004,264.6452000000001
Global Memory Store Throughput (GB/s),184.0779500000001,172.29175000000006,194.41905000000003
Global Memory Load Bank Conflicts,19200.0,19200.0,19200.0
Global Memory Store Bank Conflicts,0.0,0.0,0.0
L1 Cache Accesses (Bytes),10816.19000000002,10793.460000000017,10845.229999999963
L1 Cache Hits (%),90.59999999999972,90.59999999999972,90.59999999999972
L1 Cache Throughput (GB/s),2.830949999999993,2.7173000000000047,2.9761500000000076
L2 Cache Accesses (Bytes),6921.98000000001,6407.499999999984,6438.960000000024
L2 Cache Hits (%),93.2961999999999,92.75085000000003,92.76375000000003
L2 Cache Throughput (GB/s),1.792999999999994,1.594549999999998,1.751700000000004
#Divergent Branches,49600.0,49600.0,49600.0
Warp Stalls - Barrier Not Issued,3047785.0,2891804.0,2871174.0
Warp Stalls - Branch Resolving Not Issued,470765.0,470014.0,118864.0
Warp Stalls - Dispatch Stall Not Issued,156084.0,313472.0,10.0
Warp Stalls - Drain Not Issued,4.0,2.0,4.0
Warp Stalls - IMC Miss Not Issued,3091.0,3156.0,2542.0
Warp Stalls - LG Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Long Scoreboard Not Issued,11553650.0,11163314.0,11893438.0
Warp Stalls - Math Pipe Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Misc Not Issued,0.0,3.0,0.0
Warp Stalls - No Instructions Not Issued,316243.0,314712.0,120867.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,3907430.0,6720445.0,3981626.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Wait Not Issued,11723762.0,11642686.0,11307876.0
Occupancy,312.0000000000004,312.0000000000004,312.0000000000004
