,omp 67108864 500,sycl 67108864 500,cuda 67108864 500
Runtime,561298660.0,389970265.0,381656455.0
HtoD copy time,23061191460.0,58877410.0,59098370.0
DtoH copy time,14864103915.0,48620265.0,46958475.0
#Threads,128.0,256.0,256.0
#Teams,3200.0,262144.0,262144.0
Instructions Executed,173763585233.11044,70778880674.74953,66453504620.019684
IPC,2.4662200000000194,1.3495000000000117,1.2400400000000065
Shared Memory Stores,8152064000.0,1310720000.0,1310720000.0
Shared Memory Loads,19922944000.0,15728640000.0,15728640000.0
Shared Memory Store Bank Conflicts,37721014.0,67730143.0,61740456.0
Shared Memory Load Bank Conflicts,1023436505.0,1289040608.0,1231133539.0
Global Memory Load Instructions,1310720000.0,1310720000.0,1310720000.0
Global Memory Store Instructions,1048576000.0,1048576000.0,1048576000.0
Global Memory Load (MB),245864.6500000024,307599.35000000114,308457.02000000095
Global Memory Store (MB),244269.79000000103,305789.2899999987,306644.12999999913
Global Memory Load Throughput (GB/s),222.81111999999993,346.75842000000017,348.47366000000045
Global Memory Store Throughput (GB/s),221.36608,344.71908,346.42695999999967
Global Memory Load Bank Conflicts,61526352.0,49677020.0,50743899.0
Global Memory Store Bank Conflicts,42192614.0,25942458.0,26327985.0
L1 Cache Accesses (Bytes),506187.1400000044,634416.230000005,636185.4600000057
L1 Cache Hits (%),2.4522000000000217,0.0,0.0
L1 Cache Throughput (GB/s),458.72428000000014,715.18246,718.7209200000008
L2 Cache Accesses (Bytes),493853.9899999997,634419.010000005,636188.0600000058
L2 Cache Hits (%),51.82368000000008,52.76067999999961,52.883000000000024
L2 Cache Throughput (GB/s),447.54830000000004,715.1871199999997,718.7250799999998
#Divergent Branches,131072000.0,131072000.0,131072000.0
Warp Stalls - Barrier Not Issued,2355179.0,1673014.0,1267234.0
Warp Stalls - Branch Resolving Not Issued,465583.0,105794.0,104390.0
Warp Stalls - Dispatch Stall Not Issued,61304.0,3986.0,11137.0
Warp Stalls - Drain Not Issued,239.0,219550.0,199514.0
Warp Stalls - IMC Miss Not Issued,12526.0,12568.0,11539.0
Warp Stalls - LG Throttle Not Issued,0.0,18.0,3.0
Warp Stalls - Long Scoreboard Not Issued,3966517.0,6066653.0,5593160.0
Warp Stalls - Math Pipe Throttle Not Issued,90928.0,9472.0,12982.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,659302.0,3066420.0,2790785.0
Warp Stalls - Misc Not Issued,15979.0,657.0,16143.0
Warp Stalls - No Instructions Not Issued,71768.0,35307.0,33633.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,457480.0,153291.0,114375.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,8876.0,1904.0,831.0
Warp Stalls - Wait Not Issued,1368878.0,667100.0,588603.0
Occupancy,33220.29999999993,45396.41000000009,45517.34999999998
