,streamcluster 10 20 256 65536 65536 1000 none output.txt 1,sycl 10 20 256 65536 65536 1000 none output.txt 1
Runtime,163800275.0,170710565.0
HtoD copy time,260370725.0,259244775.0
DtoH copy time,271021290.0,186215035.0
#Threads,256.0,256.0
#Teams,256.0,256.0
Instructions Executed,5586810925.730112,7958324779.950103
IPC,0.2990254500310457,0.38668528864058815
Shared Memory Stores,26394624.0,105578496.0
Shared Memory Loads,211156992.0,844627968.0
Shared Memory Store Bank Conflicts,0.0,0.0
Shared Memory Load Bank Conflicts,60594.0,30081.0
Global Memory Load Instructions,966703104.0,966703104.0
Global Memory Store Instructions,8491746.0,8491746.0
Global Memory Load (MB),1254638.0799999896,1208417.8699999938
Global Memory Store (MB),27154.649999999678,25783.659999999738
Global Memory Load Throughput (GB/s),708.7731657355679,680.0814711359403
Global Memory Store Throughput (GB/s),15.339087523277462,14.510217256362523
Global Memory Load Bank Conflicts,16834178.0,17227252.0
Global Memory Store Bank Conflicts,6481925.0,6395366.0
L1 Cache Accesses (Bytes),1367445.4700000156,1317036.8500000185
L1 Cache Hits (%),7.550546244568591,7.560540037243965
L1 Cache Throughput (GB/s),772.4981191806338,741.20792675357
L2 Cache Accesses (Bytes),1284254.6699999648,1236970.2699999695
L2 Cache Hits (%),2.7547858472998183,2.7499999999999942
L2 Cache Throughput (GB/s),725.5044941030425,696.150117939168
#Divergent Branches,3008625.0,3008625.0
Warp Stalls - Barrier Not Issued,550118.0,889541.0
Warp Stalls - Branch Resolving Not Issued,4577.0,4266.0
Warp Stalls - Dispatch Stall Not Issued,12343.0,7883.0
Warp Stalls - Drain Not Issued,11825.0,9581.0
Warp Stalls - IMC Miss Not Issued,54940.0,49078.0
Warp Stalls - LG Throttle Not Issued,432242.0,2543.0
Warp Stalls - Long Scoreboard Not Issued,5122439.0,5463511.0
Warp Stalls - Math Pipe Throttle Not Issued,35250.0,23631.0
Warp Stalls - Membar Not Issued,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,553.0,15161.0
Warp Stalls - Misc Not Issued,2533.0,3701.0
Warp Stalls - No Instructions Not Issued,55059.0,54955.0
Warp Stalls - Not Selected Not Issued,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,37668.0,22327.0
Warp Stalls - Sleeping Not Issued,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,0.0,0.0
Warp Stalls - Wait Not Issued,125900.0,140031.0
Occupancy,63992.10999999992,63709.770000000026
