,omp 512 1480 720 50,sycl 512 1480 720 50,cuda 512 1480 720 50
Runtime,892015675.0,921878470.0,1245535790.0
HtoD copy time,9695.0,7585.0,7805.0
DtoH copy time,3446390.0,6132575.0,3824225.0
Instructions Executed,244184696512.42,247544477523.0009,244686960704.52014
IPC,2.3747333333333334,2.410000000000004,2.348400000000018
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,35804160000.0,35997696000.0,35997696000.0
Global Memory Store Instructions,9990000.0,10044000.0,10044000.0
Global Memory Load (MB),12159.349999999991,17867.679999999997,11064.330000000004
Global Memory Store (MB),1867.6299999999856,13510.13,1979.959999999987
Global Memory Load Throughput (GB/s),9.594200000000006,13.716166666666672,8.540599999999996
Global Memory Store Throughput (GB/s),1.3854333333333269,11.030366666666668,1.4618999999999958
Global Memory Load Bank Conflicts,8872322.0,48803033.0,9126537.0
Global Memory Store Bank Conflicts,0.0,3764592.0,3764550.0
L1 Cache Accesses (Bytes),129409.28000000023,129440.03999999969,126243.95000000039
L1 Cache Hits (%),99.79000000000059,99.62246666666623,99.79000000000059
L1 Cache Throughput (GB/s),427.53926666666666,427.57680000000016,416.96816666666683
L2 Cache Accesses (Bytes),3323.850000000019,17633.01999999996,3157.410000000006
L2 Cache Hits (%),101.4502333333334,100.66386666666664,101.40759999999997
L2 Cache Throughput (GB/s),2.575399999999985,14.079666666666641,2.40196666666667
#Divergent Branches,1200.0,1200.0,1200.0
Warp Stalls - Barrier Not Issued,220283.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,562596.0,401669.0,331420.0
Warp Stalls - Dispatch Stall Not Issued,333271.0,344411.0,495632.0
Warp Stalls - Drain Not Issued,235.0,1953.0,1624.0
Warp Stalls - IMC Miss Not Issued,11950.0,7491.0,9837.0
Warp Stalls - LG Throttle Not Issued,1309553.0,913383.0,573826.0
Warp Stalls - Long Scoreboard Not Issued,417440.0,274933.0,235362.0
Warp Stalls - Math Pipe Throttle Not Issued,10065481.0,12258270.0,13894033.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,6256.0,2161.0,2576.0
Warp Stalls - Misc Not Issued,21294.0,16537.0,21951.0
Warp Stalls - No Instructions Not Issued,166287.0,118315.0,97051.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,217547.0,24803.0,194451.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,1.0,0.0,0.0
Warp Stalls - Wait Not Issued,6000927.0,4527441.0,3832842.0
Occupancy,12974.169999999995,21656.8,23420.4
