,omp --nsteps 100,sycl --nsteps 100,cuda --nsteps 100
Runtime,8156270320.0,9648139795.0,4048399890.0
HtoD copy time,383871250.0,531674730.0,458241410.0
DtoH copy time,12139055.0,9822585.0,9819310.0
Instructions Executed,295178965869.3606,315748644758.7683,285517215331.0012
IPC,0.2419428571428566,0.36967142857143154,0.32999999999999774
Shared Memory Stores,39199100.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,214006.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,44443008400.0,47858769500.0,48175357000.0
Global Memory Store Instructions,2769137000.0,2769137000.0,2774387400.0
Global Memory Load (MB),273994.1599999997,311152.1899999994,306734.80999999994
Global Memory Store (MB),386694.93999999925,318421.10000000003,323252.5099999997
Global Memory Load Throughput (GB/s),303.7935285714285,246.15059999999986,245.71337142857138
Global Memory Store Throughput (GB/s),419.77351428571467,319.86129999999986,325.6722857142856
Global Memory Load Bank Conflicts,70340083445.0,71375871251.0,70543169110.0
Global Memory Store Bank Conflicts,5283729316.0,5391374951.0,5381281442.0
L1 Cache Accesses (Bytes),224638.0900000012,214141.86999999973,214033.3600000012
L1 Cache Hits (%),54.47635714285717,61.866771428571404,61.5627285714287
L1 Cache Throughput (GB/s),274.95298571428555,264.0741000000001,264.12337142857274
L2 Cache Accesses (Bytes),237111.0199999979,117383.68999999975,112961.45000000046
L2 Cache Hits (%),79.34439999999992,83.12967142857144,82.9524571428571
L2 Cache Throughput (GB/s),300.04924285714225,137.8983428571427,131.5688142857142
#Divergent Branches,7205200.0,891337500.0,746525000.0
Warp Stalls - Barrier Not Issued,1589449.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,539430.0,272587.0,245784.0
Warp Stalls - Dispatch Stall Not Issued,124422.0,198742.0,189420.0
Warp Stalls - Drain Not Issued,4399.0,159403.0,168968.0
Warp Stalls - IMC Miss Not Issued,32067.0,22193.0,24235.0
Warp Stalls - LG Throttle Not Issued,1613932.0,11965689.0,17121804.0
Warp Stalls - Long Scoreboard Not Issued,180571861.0,65779163.0,62562095.0
Warp Stalls - Math Pipe Throttle Not Issued,258741.0,366890.0,535753.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,29095.0,8338.0,11740.0
Warp Stalls - Misc Not Issued,13328.0,75474.0,110500.0
Warp Stalls - No Instructions Not Issued,198543.0,107540.0,98109.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,56926.0,31736.0,41072.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,24781.0,0.0,0.0
Warp Stalls - Wait Not Issued,8816522.0,5173671.0,5332712.0
Occupancy,22955.759999999977,28753.79,28990.450000000015
