,omp 100 10000000,sycl 100 10000000,cuda 100 10000000
Runtime,244910890.0,241917050.0,227763965.0
HtoD copy time,5452620.0,448143305.0,416680115.0
DtoH copy time,156555.0,153085.0,153795.0
#Threads,256.0,256.0,256.0
#Teams,39063.0,39063.0,39063.0
Instructions Executed,24438699244.02996,22237502288.999966,22422928255.80002
IPC,1.8003000000000018,1.7299999999999982,1.768000000000001
Shared Memory Stores,222659900.0,35157500.0,35157500.0
Shared Memory Loads,3748439754.0,3559218766.0,3599866669.0
Shared Memory Store Bank Conflicts,27553.0,12.0,188.0
Shared Memory Load Bank Conflicts,31510.0,1201281.0,29234.0
Global Memory Load Instructions,31372100.0,31372100.0,31372100.0
Global Memory Store Instructions,3907900.0,3906500.0,3906500.0
Global Memory Load (MB),5621.240000000006,5543.88000000001,5655.150000000008
Global Memory Store (MB),63684.68999999987,60848.42999999987,65140.03999999983
Global Memory Load Throughput (GB/s),16.08080000000001,15.3059,16.418999999999997
Global Memory Store Throughput (GB/s),635.2581000000002,606.8943000000002,649.8104
Global Memory Load Bank Conflicts,31158.0,26609.0,20355.0
Global Memory Store Bank Conflicts,8750.0,15298.0,13339.0
L1 Cache Accesses (Bytes),5975.209999999991,5892.79999999999,6011.199999999991
L1 Cache Hits (%),0.11939999999999985,0.020000000000000014,0.024200000000000003
L1 Cache Throughput (GB/s),17.092100000000006,16.267999999999994,17.451999999999995
L2 Cache Accesses (Bytes),6015.299999999991,5893.439999999994,6011.629999999994
L2 Cache Hits (%),6.602100000000012,5.985000000000008,5.97950000000001
L2 Cache Throughput (GB/s),17.20819999999999,16.271299999999993,17.454399999999996
#Divergent Branches,976440600.0,976440600.0,976440600.0
Warp Stalls - Barrier Not Issued,1188844.0,1241182.0,1125343.0
Warp Stalls - Branch Resolving Not Issued,103303.0,99882.0,97830.0
Warp Stalls - Dispatch Stall Not Issued,514.0,2759.0,434.0
Warp Stalls - Drain Not Issued,650.0,510.0,523.0
Warp Stalls - IMC Miss Not Issued,2090.0,2462.0,2262.0
Warp Stalls - LG Throttle Not Issued,0.0,0.0,0.0
Warp Stalls - Long Scoreboard Not Issued,59229.0,65146.0,64991.0
Warp Stalls - Math Pipe Throttle Not Issued,1160.0,724.0,538.0
Warp Stalls - Membar Not Issued,0.0,4788.0,4700.0
Warp Stalls - MIO Throttle Not Issued,182624.0,156598.0,136137.0
Warp Stalls - Misc Not Issued,379.0,1799.0,438.0
Warp Stalls - No Instructions Not Issued,49139.0,46326.0,46716.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,1164610.0,1075215.0,1153157.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,200.0,6.0,7.0
Warp Stalls - Wait Not Issued,413651.0,414042.0,409165.0
Occupancy,9756.810000000001,9718.67,9732.450000000003
