,omp 32 100 omp offloading kernel,sycl 32 100 sycl kernel,cuda 32 100 cuda_kernel
Runtime,5016630985.0,3506150515.0,3324356705.0
HtoD copy time,123605.0,122730.0,121105.0
DtoH copy time,12865.0,13760.0,12130.0
#Threads,256.0,256.0,256.0
#Teams,512.0,512.0,512.0
Instructions Executed,301312426131.8801,291011346574.3104,241405231223.3092
IPC,0.7249019607843131,0.6975980392156853,0.5848529411764711
Shared Memory Stores,0.0,0.0,0.0
Shared Memory Loads,0.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,0.0,0.0,0.0
Global Memory Load Instructions,47920742400.0,47920742400.0,47920742400.0
Global Memory Store Instructions,3342336.0,3342336.0,3342336.0
Global Memory Load (MB),195575.55999999985,197321.61999999982,198387.08999999985
Global Memory Store (MB),27066.500000000025,2122.69,27556.17000000003
Global Memory Load Throughput (GB/s),33.81225490196078,48.4560294117647,50.96367647058825
Global Memory Store Throughput (GB/s),4.678921568627451,0.5229901960784313,7.079264705882345
Global Memory Load Bank Conflicts,8882496418.0,8860738023.0,8942932421.0
Global Memory Store Bank Conflicts,216327.0,238299.0,239765.0
L1 Cache Accesses (Bytes),14953.349999999995,15181.19000000002,15244.460000000017
L1 Cache Hits (%),64.80828431372548,64.37828431372549,66.32735294117641
L1 Cache Throughput (GB/s),2.5849019607843133,3.727941176470595,3.916323529411762
L2 Cache Accesses (Bytes),88284.08999999998,6020.139999999987,5720.789999999991
L2 Cache Hits (%),100.01514705882347,100.08049019607846,100.0159803921569
L2 Cache Throughput (GB/s),405.05063725490163,1.4782352941176475,1.469705882352942
#Divergent Branches,0.0,0.0,0.0
Warp Stalls - Barrier Not Issued,1144099.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,103290.0,97348.0,24443.0
Warp Stalls - Dispatch Stall Not Issued,56404.0,29071.0,62786.0
Warp Stalls - Drain Not Issued,41.0,517.0,426.0
Warp Stalls - IMC Miss Not Issued,6398.0,3109.0,6979.0
Warp Stalls - LG Throttle Not Issued,45948069.0,46808493.0,54971220.0
Warp Stalls - Long Scoreboard Not Issued,19451034.0,19000281.0,9774363.0
Warp Stalls - Math Pipe Throttle Not Issued,66483.0,64997.0,93671.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,14.0,7.0,284.0
Warp Stalls - Misc Not Issued,65749.0,39071.0,56562.0
Warp Stalls - No Instructions Not Issued,74301.0,66452.0,18126.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,70.0,10.0,215.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,1.0,0.0,0.0
Warp Stalls - Wait Not Issued,1551185.0,1304451.0,1043005.0
Occupancy,14800.10999999999,16141.800000000001,16186.390000000025
