,omp -num_systems=524288,sycl -num_systems=524288,cuda -num_systems=524288
Runtime,9155681850.0,8266081900.0,13828802970.0
HtoD copy time,832616515.0,1043116210.0,895406400.0
DtoH copy time,178277130.0,300500550.0,310607965.0
Instructions Executed,767435376950.4141,430021019031.16846,553571583739.6001
IPC,1.8923582358235842,1.3010636363636296,1.6090009000900174
Shared Memory Stores,40595161088.0,20027801600.0,20863516672.0
Shared Memory Loads,74415636480.0,52638515200.0,55071211520.0
Shared Memory Store Bank Conflicts,8790579849.0,8742640166.0,8605786144.0
Shared Memory Load Bank Conflicts,29302309009.0,29382982059.0,29024015690.0
Global Memory Load Instructions,6341132288.0,7117209600.0,7089094656.0
Global Memory Store Instructions,3170566144.0,3139174400.0,3170566144.0
Global Memory Load (MB),412657.09000000183,515440.1300000055,511144.9800000051
Global Memory Store (MB),497595.3699999997,548045.5300000001,551113.7700000018
Global Memory Load Throughput (GB/s),246.86899189918992,343.828290909091,335.4738253825388
Global Memory Store Throughput (GB/s),156.26198019801976,206.41071818181842,204.35597659765978
Global Memory Load Bank Conflicts,21094195934.0,21931841710.0,21960677395.0
Global Memory Store Bank Conflicts,10040610005.0,10103779306.0,10213235354.0
L1 Cache Accesses (Bytes),706716.0700000022,858965.1100000009,855771.2099999939
L1 Cache Hits (%),3.2762106210621256,2.257372727272731,2.9305760576057387
L1 Cache Throughput (GB/s),389.9398919891986,534.7090909090907,524.1147524752474
L2 Cache Accesses (Bytes),707621.5900000016,861646.9500000027,858825.979999999
L2 Cache Hits (%),35.63557155715615,35.40008181818219,35.54592259225946
L2 Cache Throughput (GB/s),390.518802880288,536.8296727272731,526.6247794779479
#Divergent Branches,2647654400.0,1782579200.0,3283091456.0
Warp Stalls - Barrier Not Issued,18167229.0,4366901.0,6879528.0
Warp Stalls - Branch Resolving Not Issued,5661189.0,253273.0,957362.0
Warp Stalls - Dispatch Stall Not Issued,80755.0,42870.0,53132.0
Warp Stalls - Drain Not Issued,45766.0,696324.0,746388.0
Warp Stalls - IMC Miss Not Issued,31684.0,15071.0,30257.0
Warp Stalls - LG Throttle Not Issued,92536878.0,118014174.0,100351157.0
Warp Stalls - Long Scoreboard Not Issued,65182330.0,49838960.0,55692552.0
Warp Stalls - Math Pipe Throttle Not Issued,405578.0,87564.0,189044.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1810434.0,7145858.0,3909186.0
Warp Stalls - Misc Not Issued,59379.0,34689.0,39877.0
Warp Stalls - No Instructions Not Issued,1666007.0,88564.0,668463.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,8753291.0,1692623.0,3145425.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,88529.0,11560.0,11839.0
Warp Stalls - Wait Not Issued,13453870.0,1355143.0,2300803.0
Occupancy,70227.58000000002,104043.32999999994,90305.58999999978
