,omp 62,sycl 62,cuda 62
Runtime,11348425835.0,2059187540.0,1122727305.0
HtoD copy time,701580850.0,8145265.0,8087505.0
DtoH copy time,651378885.0,1393521445.0,1379656410.0
Instructions Executed,2030162975525.3162,47188804310.73994,54658788842.14988
IPC,0.7061719457013629,1.7947419354838652,1.6421774193548382
Shared Memory Stores,64034750.0,0.0,0.0
Shared Memory Loads,404430000.0,0.0,0.0
Shared Memory Store Bank Conflicts,0.0,0.0,0.0
Shared Memory Load Bank Conflicts,19337123.0,0.0,0.0
Global Memory Load Instructions,0.0,1940818116.0,1942869200.0
Global Memory Store Instructions,0.0,7559350.0,1859600100.0
Global Memory Load (MB),604574.8500000047,123008.07999999989,120736.22000000048
Global Memory Store (MB),142868.8000000013,137515.78000000044,134383.22000000085
Global Memory Load Throughput (GB/s),43.02774660633474,49.78317741935488,42.830419354838725
Global Memory Store Throughput (GB/s),126.98996380090506,163.5351129032257,158.45296774193554
Global Memory Load Bank Conflicts,15088704655.0,40996607.0,40657901.0
Global Memory Store Bank Conflicts,443285342.0,749890.0,703396.0
L1 Cache Accesses (Bytes),393053.1300000006,198384.28999999812,186872.3299999982
L1 Cache Hits (%),73.77001809954776,29.092596774193577,27.88301612903225
L1 Cache Throughput (GB/s),331.9279185520378,242.7861935483871,224.98274193548403
L2 Cache Accesses (Bytes),374197.6299999938,201002.79999999853,193116.60999999964
L2 Cache Hits (%),87.64083257918581,71.27812903225818,70.94901612903222
L2 Cache Throughput (GB/s),330.7815475113121,244.67837096774193,231.88856451612924
#Divergent Branches,475822593.0,180655042.0,158262378.0
Warp Stalls - Barrier Not Issued,72056032.0,0.0,0.0
Warp Stalls - Branch Resolving Not Issued,4288757.0,59321.0,52613.0
Warp Stalls - Dispatch Stall Not Issued,204476.0,23291.0,20613.0
Warp Stalls - Drain Not Issued,4241.0,36388.0,26608.0
Warp Stalls - IMC Miss Not Issued,15918.0,18147.0,16444.0
Warp Stalls - LG Throttle Not Issued,611446.0,25173569.0,20746953.0
Warp Stalls - Long Scoreboard Not Issued,90022680.0,3035090.0,1339238.0
Warp Stalls - Math Pipe Throttle Not Issued,1021625.0,68119.0,59512.0
Warp Stalls - Membar Not Issued,0.0,0.0,0.0
Warp Stalls - MIO Throttle Not Issued,1382.0,35623.0,17257.0
Warp Stalls - Misc Not Issued,14983.0,10402.0,7479.0
Warp Stalls - No Instructions Not Issued,2429542.0,45110.0,50136.0
Warp Stalls - Not Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Selected Not Issued,0.0,0.0,0.0
Warp Stalls - Short Scoreboard Not Issued,734676.0,71853.0,79889.0
Warp Stalls - Sleeping Not Issued,0.0,0.0,0.0
Warp Stalls - TEX Throttle Not Issued,875.0,0.0,0.0
Warp Stalls - Wait Not Issued,374413856.0,1048212.0,690004.0
Occupancy,27633.68000000051,31102.310000000016,26346.94000000003
